Blocksize,Nur BWT,BTW+Huffman,BWT+MTF,BTW+MTF+Huffman
2000,768771,438690,768771,389976
4000,768771,438690,768771,371097
6000,768771,438690,768771,361199
8000,768771,438690,768771,354475
10000,768771,438690,768771,348983
12000,768771,438690,768771,344096
14000,768771,438690,768771,339542
16000,768771,438690,768771,336305
18000,768771,438690,768771,333165
20000,768771,438690,768771,330801
22000,768771,438690,768771,327886
24000,768771,438690,768771,325971
26000,768771,438690,768771,324079
28000,768771,438690,768771,322543
30000,768771,438690,768771,320473
32000,768771,438690,768771,318986
34000,768771,438690,768771,318031
36000,768771,438690,768771,316740
38000,768771,438690,768771,315537
40000,768771,438690,768771,314628
42000,768771,438690,768771,313274
44000,768771,438690,768771,312302
46000,768771,438690,768771,311489
48000,768771,438690,768771,310287
50000,768771,438690,768771,309592
52000,768771,438690,768771,308734
54000,768771,438690,768771,308317
56000,768771,438690,768771,307024
58000,768771,438690,768771,306897
60000,768771,438690,768771,305890
62000,768771,438690,768771,305596
64000,768771,438690,768771,304257
66000,768771,438690,768771,304124
68000,768771,438690,768771,303693
70000,768771,438690,768771,302107
72000,768771,438690,768771,302199
74000,768771,438690,768771,301961
76000,768771,438690,768771,301356
78000,768771,438690,768771,300347
80000,768771,438690,768771,300433
82000,768771,438690,768771,300088
84000,768771,438690,768771,299542
86000,768771,438690,768771,298713
88000,768771,438690,768771,298483
90000,768771,438690,768771,298380
92000,768771,438690,768771,298250
94000,768771,438690,768771,297738
96000,768771,438690,768771,296520
98000,768771,438690,768771,296209
100000,768771,438690,768771,296269
102000,768771,438690,768771,296156
104000,768771,438690,768771,296037
106000,768771,438690,768771,295602
108000,768771,438690,768771,295189
110000,768771,438690,768771,293989
112000,768771,438690,768771,294042
114000,768771,438690,768771,294113
116000,768771,438690,768771,294079
118000,768771,438690,768771,294035
120000,768771,438690,768771,293904
122000,768771,438690,768771,293610
124000,768771,438690,768771,293237
126000,768771,438690,768771,292715
128000,768771,438690,768771,291808
130000,768771,438690,768771,291637
132000,768771,438690,768771,291531
134000,768771,438690,768771,291513
136000,768771,438690,768771,291517
138000,768771,438690,768771,291433
140000,768771,438690,768771,291316
142000,768771,438690,768771,291214
144000,768771,438690,768771,291072
146000,768771,438690,768771,290795
148000,768771,438690,768771,290437
150000,768771,438690,768771,289910
152000,768771,438690,768771,289399
154000,768771,438690,768771,288411
156000,768771,438690,768771,288481
158000,768771,438690,768771,288410
160000,768771,438690,768771,288340
162000,768771,438690,768771,288404
164000,768771,438690,768771,288311
166000,768771,438690,768771,288265
168000,768771,438690,768771,288221
170000,768771,438690,768771,288268
172000,768771,438690,768771,288176
174000,768771,438690,768771,288087
176000,768771,438690,768771,287904
178000,768771,438690,768771,287916
180000,768771,438690,768771,287648
182000,768771,438690,768771,287450
184000,768771,438690,768771,287180
186000,768771,438690,768771,286912
188000,768771,438690,768771,286593
190000,768771,438690,768771,286124
192000,768771,438690,768771,285241
194000,768771,438690,768771,285026
196000,768771,438690,768771,284993
198000,768771,438690,768771,285001
200000,768771,438690,768771,285035
202000,768771,438690,768771,284952
204000,768771,438690,768771,284906
206000,768771,438690,768771,284839
208000,768771,438690,768771,284763
210000,768771,438690,768771,284658
212000,768771,438690,768771,284636
214000,768771,438690,768771,284547
216000,768771,438690,768771,284522
218000,768771,438690,768771,284472
220000,768771,438690,768771,284394
222000,768771,438690,768771,284322
224000,768771,438690,768771,284183
226000,768771,438690,768771,284184
228000,768771,438690,768771,284054
230000,768771,438690,768771,284038
232000,768771,438690,768771,283970
234000,768771,438690,768771,283880
236000,768771,438690,768771,283853
238000,768771,438690,768771,283757
240000,768771,438690,768771,283584
242000,768771,438690,768771,283368
244000,768771,438690,768771,283155
246000,768771,438690,768771,282883
248000,768771,438690,768771,282643
250000,768771,438690,768771,282376
252000,768771,438690,768771,282103
254000,768771,438690,768771,281689
256000,768771,438690,768771,281049
258000,768771,438690,768771,280778
260000,768771,438690,768771,280807
262000,768771,438690,768771,280836
264000,768771,438690,768771,280831
266000,768771,438690,768771,280875
268000,768771,438690,768771,280844
270000,768771,438690,768771,280837
272000,768771,438690,768771,280810
274000,768771,438690,768771,280748
276000,768771,438690,768771,280755
278000,768771,438690,768771,280738
280000,768771,438690,768771,280732
282000,768771,438690,768771,280731
284000,768771,438690,768771,280663
286000,768771,438690,768771,280608
288000,768771,438690,768771,280570
290000,768771,438690,768771,280491
292000,768771,438690,768771,280459
294000,768771,438690,768771,280448
296000,768771,438690,768771,280413
298000,768771,438690,768771,280434
300000,768771,438690,768771,280407
302000,768771,438690,768771,280334
304000,768771,438690,768771,280305
306000,768771,438690,768771,280232
308000,768771,438690,768771,280151
310000,768771,438690,768771,280114
312000,768771,438690,768771,280068
314000,768771,438690,768771,279990
316000,768771,438690,768771,279941
318000,768771,438690,768771,279907
320000,768771,438690,768771,279866
322000,768771,438690,768771,279827
324000,768771,438690,768771,279802
326000,768771,438690,768771,279730
328000,768771,438690,768771,279662
330000,768771,438690,768771,279623
332000,768771,438690,768771,279525
334000,768771,438690,768771,279435
336000,768771,438690,768771,279391
338000,768771,438690,768771,279341
340000,768771,438690,768771,279260
342000,768771,438690,768771,279184
344000,768771,438690,768771,279126
346000,768771,438690,768771,279057
348000,768771,438690,768771,279008
350000,768771,438690,768771,278883
352000,768771,438690,768771,278802
354000,768771,438690,768771,278748
356000,768771,438690,768771,278702
358000,768771,438690,768771,278569
360000,768771,438690,768771,278409
362000,768771,438690,768771,278316
364000,768771,438690,768771,278151
366000,768771,438690,768771,278023
368000,768771,438690,768771,277845
370000,768771,438690,768771,277665
372000,768771,438690,768771,277441
374000,768771,438690,768771,277269
376000,768771,438690,768771,277022
378000,768771,438690,768771,276808
380000,768771,438690,768771,276532
382000,768771,438690,768771,276147
384000,768771,438690,768771,275625
386000,768771,438690,768771,275424
388000,768771,438690,768771,275431
390000,768771,438690,768771,275431
392000,768771,438690,768771,275422
394000,768771,438690,768771,275429
396000,768771,438690,768771,275438
398000,768771,438690,768771,275446
400000,768771,438690,768771,275449
402000,768771,438690,768771,275447
404000,768771,438690,768771,275435
406000,768771,438690,768771,275455
408000,768771,438690,768771,275469
410000,768771,438690,768771,275462
412000,768771,438690,768771,275435
414000,768771,438690,768771,275421
416000,768771,438690,768771,275371
418000,768771,438690,768771,275342
420000,768771,438690,768771,275314
422000,768771,438690,768771,275276
424000,768771,438690,768771,275233
426000,768771,438690,768771,275226
428000,768771,438690,768771,275235
430000,768771,438690,768771,275262
432000,768771,438690,768771,275241
434000,768771,438690,768771,275248
436000,768771,438690,768771,275241
438000,768771,438690,768771,275230
440000,768771,438690,768771,275227
442000,768771,438690,768771,275222
444000,768771,438690,768771,275220
446000,768771,438690,768771,275202
448000,768771,438690,768771,275199
450000,768771,438690,768771,275197
452000,768771,438690,768771,275205
454000,768771,438690,768771,275176
456000,768771,438690,768771,275163
458000,768771,438690,768771,275132
460000,768771,438690,768771,275124
462000,768771,438690,768771,275118
464000,768771,438690,768771,275068
466000,768771,438690,768771,275067
468000,768771,438690,768771,275061
470000,768771,438690,768771,275045
472000,768771,438690,768771,275028
474000,768771,438690,768771,275024
476000,768771,438690,768771,275007
478000,768771,438690,768771,274986
480000,768771,438690,768771,274979
482000,768771,438690,768771,274941
484000,768771,438690,768771,274934
486000,768771,438690,768771,274942
488000,768771,438690,768771,274907
490000,768771,438690,768771,274903
492000,768771,438690,768771,274908
494000,768771,438690,768771,274929
496000,768771,438690,768771,274913
498000,768771,438690,768771,274929
500000,768771,438690,768771,274911
502000,768771,438690,768771,274896
504000,768771,438690,768771,274877
506000,768771,438690,768771,274870
508000,768771,438690,768771,274838
510000,768771,438690,768771,274853
512000,768771,438690,768771,274844
514000,768771,438690,768771,274831
516000,768771,438690,768771,274824
518000,768771,438690,768771,274821
520000,768771,438690,768771,274811
522000,768771,438690,768771,274802
524000,768771,438690,768771,274798
526000,768771,438690,768771,274776
528000,768771,438690,768771,274749
530000,768771,438690,768771,274739
532000,768771,438690,768771,274755
534000,768771,438690,768771,274740
536000,768771,438690,768771,274702
538000,768771,438690,768771,274705
540000,768771,438690,768771,274661
542000,768771,438690,768771,274617
544000,768771,438690,768771,274618
546000,768771,438690,768771,274574
548000,768771,438690,768771,274523
550000,768771,438690,768771,274516
552000,768771,438690,768771,274519
554000,768771,438690,768771,274489
556000,768771,438690,768771,274460
558000,768771,438690,768771,274465
560000,768771,438690,768771,274459
562000,768771,438690,768771,274448
564000,768771,438690,768771,274447
566000,768771,438690,768771,274424
568000,768771,438690,768771,274386
570000,768771,438690,768771,274341
572000,768771,438690,768771,274303
574000,768771,438690,768771,274254
576000,768771,438690,768771,274208
578000,768771,438690,768771,274158
580000,768771,438690,768771,274122
582000,768771,438690,768771,274117
584000,768771,438690,768771,274073
586000,768771,438690,768771,274049
588000,768771,438690,768771,274018
590000,768771,438690,768771,273979
592000,768771,438690,768771,273964
594000,768771,438690,768771,273934
596000,768771,438690,768771,273900
598000,768771,438690,768771,273851
600000,768771,438690,768771,273798
602000,768771,438690,768771,273763
604000,768771,438690,768771,273723
606000,768771,438690,768771,273672
608000,768771,438690,768771,273620
610000,768771,438690,768771,273568
612000,768771,438690,768771,273497
614000,768771,438690,768771,273450
616000,768771,438690,768771,273395
618000,768771,438690,768771,273357
620000,768771,438690,768771,273313
622000,768771,438690,768771,273273
624000,768771,438690,768771,273207
626000,768771,438690,768771,273147
628000,768771,438690,768771,273110
630000,768771,438690,768771,273044
632000,768771,438690,768771,273019
634000,768771,438690,768771,272996
636000,768771,438690,768771,272986
638000,768771,438690,768771,272924
640000,768771,438690,768771,272870
642000,768771,438690,768771,272826
644000,768771,438690,768771,272774
646000,768771,438690,768771,272739
648000,768771,438690,768771,272732
650000,768771,438690,768771,272713
652000,768771,438690,768771,272640
654000,768771,438690,768771,272581
656000,768771,438690,768771,272537
658000,768771,438690,768771,272464
660000,768771,438690,768771,272420
662000,768771,438690,768771,272358
664000,768771,438690,768771,272302
666000,768771,438690,768771,272246
668000,768771,438690,768771,272191
670000,768771,438690,768771,272139
672000,768771,438690,768771,272115
674000,768771,438690,768771,272065
676000,768771,438690,768771,272036
678000,768771,438690,768771,271973
680000,768771,438690,768771,271934
682000,768771,438690,768771,271888
684000,768771,438690,768771,271809
686000,768771,438690,768771,271755
688000,768771,438690,768771,271733
690000,768771,438690,768771,271685
692000,768771,438690,768771,271629
694000,768771,438690,768771,271586
696000,768771,438690,768771,271552
698000,768771,438690,768771,271495
700000,768771,438690,768771,271421
702000,768771,438690,768771,271347
704000,768771,438690,768771,271289
706000,768771,438690,768771,271254
708000,768771,438690,768771,271219
710000,768771,438690,768771,271165
712000,768771,438690,768771,271132
714000,768771,438690,768771,271032
716000,768771,438690,768771,270988
718000,768771,438690,768771,270898
720000,768771,438690,768771,270819
722000,768771,438690,768771,270729
724000,768771,438690,768771,270660
726000,768771,438690,768771,270527
728000,768771,438690,768771,270454
730000,768771,438690,768771,270392
732000,768771,438690,768771,270280
734000,768771,438690,768771,270173
736000,768771,438690,768771,270048
738000,768771,438690,768771,269935
740000,768771,438690,768771,269856
742000,768771,438690,768771,269752
744000,768771,438690,768771,269570
746000,768771,438690,768771,269451
748000,768771,438690,768771,269347
750000,768771,438690,768771,269190
752000,768771,438690,768771,269052
754000,768771,438690,768771,268942
756000,768771,438690,768771,268832
758000,768771,438690,768771,268689
760000,768771,438690,768771,268515
762000,768771,438690,768771,268361
764000,768771,438690,768771,268113
766000,768771,438690,768771,267867
768000,768771,438690,768771,267550
770000,768771,438690,768771,267308
772000,768771,438690,768771,267308
774000,768771,438690,768771,267308
776000,768771,438690,768771,267308
778000,768771,438690,768771,267308
780000,768771,438690,768771,267308
782000,768771,438690,768771,267308
784000,768771,438690,768771,267308
786000,768771,438690,768771,267308
788000,768771,438690,768771,267308
790000,768771,438690,768771,267308
792000,768771,438690,768771,267308
794000,768771,438690,768771,267308
796000,768771,438690,768771,267308
798000,768771,438690,768771,267308
800000,768771,438690,768771,267308
802000,768771,438690,768771,267308
804000,768771,438690,768771,267308
806000,768771,438690,768771,267308
808000,768771,438690,768771,267308
810000,768771,438690,768771,267308
812000,768771,438690,768771,267308
814000,768771,438690,768771,267308
816000,768771,438690,768771,267308
818000,768771,438690,768771,267308
820000,768771,438690,768771,267308
822000,768771,438690,768771,267308
824000,768771,438690,768771,267308
826000,768771,438690,768771,267308
828000,768771,438690,768771,267308
830000,768771,438690,768771,267308
832000,768771,438690,768771,267308
834000,768771,438690,768771,267308
836000,768771,438690,768771,267308
838000,768771,438690,768771,267308
840000,768771,438690,768771,267308
842000,768771,438690,768771,267308
844000,768771,438690,768771,267308
846000,768771,438690,768771,267308
848000,768771,438690,768771,267308
850000,768771,438690,768771,267308
852000,768771,438690,768771,267308
854000,768771,438690,768771,267308
856000,768771,438690,768771,267308
858000,768771,438690,768771,267308
860000,768771,438690,768771,267308
862000,768771,438690,768771,267308
864000,768771,438690,768771,267308
866000,768771,438690,768771,267308
868000,768771,438690,768771,267308
870000,768771,438690,768771,267308
872000,768771,438690,768771,267308
874000,768771,438690,768771,267308
876000,768771,438690,768771,267308
878000,768771,438690,768771,267308
880000,768771,438690,768771,267308
882000,768771,438690,768771,267308
884000,768771,438690,768771,267308
886000,768771,438690,768771,267308
888000,768771,438690,768771,267308
890000,768771,438690,768771,267308
892000,768771,438690,768771,267308
894000,768771,438690,768771,267308
896000,768771,438690,768771,267308
898000,768771,438690,768771,267308
900000,768771,438690,768771,267308
902000,768771,438690,768771,267308
904000,768771,438690,768771,267308
906000,768771,438690,768771,267308
908000,768771,438690,768771,267308
910000,768771,438690,768771,267308
912000,768771,438690,768771,267308
914000,768771,438690,768771,267308
916000,768771,438690,768771,267308
918000,768771,438690,768771,267308
920000,768771,438690,768771,267308
922000,768771,438690,768771,267308
924000,768771,438690,768771,267308
926000,768771,438690,768771,267308
928000,768771,438690,768771,267308
930000,768771,438690,768771,267308
932000,768771,438690,768771,267308
934000,768771,438690,768771,267308
936000,768771,438690,768771,267308
938000,768771,438690,768771,267308
940000,768771,438690,768771,267308
942000,768771,438690,768771,267308
944000,768771,438690,768771,267308
946000,768771,438690,768771,267308
948000,768771,438690,768771,267308
950000,768771,438690,768771,267308
952000,768771,438690,768771,267308
954000,768771,438690,768771,267308
956000,768771,438690,768771,267308
958000,768771,438690,768771,267308
960000,768771,438690,768771,267308
962000,768771,438690,768771,267308
964000,768771,438690,768771,267308
966000,768771,438690,768771,267308
968000,768771,438690,768771,267308
