Blocksize,Algorithm,Size
10000,Huffman,4767686
10000,MTF,14059363
10000,BWT+MTF,14059363
10000,BWT+Huffman,4767686
10000,MTF+Huffman,4091116
10000,BWT+MTF+Huffman,4023022
20000,Huffman,4767686
20000,MTF,14059363
20000,BWT+MTF,14059363
20000,BWT+Huffman,4767686
20000,MTF+Huffman,4090855
20000,BWT+MTF+Huffman,4018869
30000,Huffman,4767686
30000,MTF,14059363
30000,BWT+MTF,14059363
30000,BWT+Huffman,4767686
30000,MTF+Huffman,4090779
30000,BWT+MTF+Huffman,4016886
40000,Huffman,4767686
40000,MTF,14059363
40000,BWT+MTF,14059363
40000,BWT+Huffman,4767686
40000,MTF+Huffman,4090742
40000,BWT+MTF+Huffman,4016212
50000,Huffman,4767686
50000,MTF,14059363
50000,BWT+MTF,14059363
50000,BWT+Huffman,4767686
50000,MTF+Huffman,4090726
50000,BWT+MTF+Huffman,4015482
60000,Huffman,4767686
60000,MTF,14059363
60000,BWT+MTF,14059363
60000,BWT+Huffman,4767686
60000,MTF+Huffman,4090693
60000,BWT+MTF+Huffman,4014950
70000,Huffman,4767686
70000,MTF,14059363
70000,BWT+MTF,14059363
70000,BWT+Huffman,4767686
70000,MTF+Huffman,4090701
70000,BWT+MTF+Huffman,4014350
80000,Huffman,4767686
80000,MTF,14059363
80000,BWT+MTF,14059363
80000,BWT+Huffman,4767686
80000,MTF+Huffman,4090683
80000,BWT+MTF+Huffman,4013928
90000,Huffman,4767686
90000,MTF,14059363
90000,BWT+MTF,14059363
90000,BWT+Huffman,4767686
90000,MTF+Huffman,4090674
90000,BWT+MTF+Huffman,4013342
100000,Huffman,4767686
100000,MTF,14059363
100000,BWT+MTF,14059363
100000,BWT+Huffman,4767686
100000,MTF+Huffman,4090672
100000,BWT+MTF+Huffman,4013253
110000,Huffman,4767686
110000,MTF,14059363
110000,BWT+MTF,14059363
110000,BWT+Huffman,4767686
110000,MTF+Huffman,4090670
110000,BWT+MTF+Huffman,4012975
120000,Huffman,4767686
120000,MTF,14059363
120000,BWT+MTF,14059363
120000,BWT+Huffman,4767686
120000,MTF+Huffman,4090656
120000,BWT+MTF+Huffman,4012480
130000,Huffman,4767686
130000,MTF,14059363
130000,BWT+MTF,14059363
130000,BWT+Huffman,4767686
130000,MTF+Huffman,4090662
130000,BWT+MTF+Huffman,4012407
140000,Huffman,4767686
140000,MTF,14059363
140000,BWT+MTF,14059363
140000,BWT+Huffman,4767686
140000,MTF+Huffman,4090662
140000,BWT+MTF+Huffman,4012053
150000,Huffman,4767686
150000,MTF,14059363
150000,BWT+MTF,14059363
150000,BWT+Huffman,4767686
150000,MTF+Huffman,4090657
150000,BWT+MTF+Huffman,4011885
160000,Huffman,4767686
160000,MTF,14059363
160000,BWT+MTF,14059363
160000,BWT+Huffman,4767686
160000,MTF+Huffman,4090650
160000,BWT+MTF+Huffman,4011396
170000,Huffman,4767686
170000,MTF,14059363
170000,BWT+MTF,14059363
170000,BWT+Huffman,4767686
170000,MTF+Huffman,4090653
170000,BWT+MTF+Huffman,4011437
180000,Huffman,4767686
180000,MTF,14059363
180000,BWT+MTF,14059363
180000,BWT+Huffman,4767686
180000,MTF+Huffman,4090643
180000,BWT+MTF+Huffman,4011373
190000,Huffman,4767686
190000,MTF,14059363
190000,BWT+MTF,14059363
190000,BWT+Huffman,4767686
