Blocksize,Nur BWT,BTW+Huffman,BWT+MTF,BTW+MTF+Huffman
1000,14059363,4767686,14059363,4059480
2000,14059363,4767686,14059363,4044496
3000,14059363,4767686,14059363,4037677
4000,14059363,4767686,14059363,4033345
5000,14059363,4767686,14059363,4030421
6000,14059363,4767686,14059363,4028015
7000,14059363,4767686,14059363,4026479
8000,14059363,4767686,14059363,4025145
9000,14059363,4767686,14059363,4024307
10000,14059363,4767686,14059363,4023022
11000,14059363,4767686,14059363,4022542
12000,14059363,4767686,14059363,4022241
13000,14059363,4767686,14059363,4021652
14000,14059363,4767686,14059363,4021024
15000,14059363,4767686,14059363,4020213
16000,14059363,4767686,14059363,4020397
17000,14059363,4767686,14059363,4019852
18000,14059363,4767686,14059363,4019644
19000,14059363,4767686,14059363,4018925
20000,14059363,4767686,14059363,4018869
21000,14059363,4767686,14059363,4018612
22000,14059363,4767686,14059363,4018152
23000,14059363,4767686,14059363,4018020
24000,14059363,4767686,14059363,4018208
25000,14059363,4767686,14059363,4017822
26000,14059363,4767686,14059363,4018075
27000,14059363,4767686,14059363,4017646
28000,14059363,4767686,14059363,4017596
29000,14059363,4767686,14059363,4017561
30000,14059363,4767686,14059363,4016886
31000,14059363,4767686,14059363,4017042
32000,14059363,4767686,14059363,4017263
33000,14059363,4767686,14059363,4017204
34000,14059363,4767686,14059363,4016262
35000,14059363,4767686,14059363,4016721
36000,14059363,4767686,14059363,4016216
37000,14059363,4767686,14059363,4016606
38000,14059363,4767686,14059363,4016466
39000,14059363,4767686,14059363,4016067
40000,14059363,4767686,14059363,4016212
41000,14059363,4767686,14059363,4015959
42000,14059363,4767686,14059363,4015859
43000,14059363,4767686,14059363,4015726
44000,14059363,4767686,14059363,4015897
45000,14059363,4767686,14059363,4015662
46000,14059363,4767686,14059363,4015657
47000,14059363,4767686,14059363,4015810
48000,14059363,4767686,14059363,4015775
49000,14059363,4767686,14059363,4015296
50000,14059363,4767686,14059363,4015482
51000,14059363,4767686,14059363,4015387
52000,14059363,4767686,14059363,4015833
53000,14059363,4767686,14059363,4015107
54000,14059363,4767686,14059363,4015348
55000,14059363,4767686,14059363,4014936
56000,14059363,4767686,14059363,4015152
57000,14059363,4767686,14059363,4015160
58000,14059363,4767686,14059363,4014829
59000,14059363,4767686,14059363,4014948
60000,14059363,4767686,14059363,4014950
61000,14059363,4767686,14059363,4014820
62000,14059363,4767686,14059363,4014546
63000,14059363,4767686,14059363,4014870
64000,14059363,4767686,14059363,4015094
65000,14059363,4767686,14059363,4014771
66000,14059363,4767686,14059363,4014741
67000,14059363,4767686,14059363,4014840
68000,14059363,4767686,14059363,4014342
69000,14059363,4767686,14059363,4014628
70000,14059363,4767686,14059363,4014350
71000,14059363,4767686,14059363,4014432
72000,14059363,4767686,14059363,4014482
73000,14059363,4767686,14059363,4014261
74000,14059363,4767686,14059363,4014372
75000,14059363,4767686,14059363,4014295
76000,14059363,4767686,14059363,4014343
77000,14059363,4767686,14059363,4014073
78000,14059363,4767686,14059363,4014161
79000,14059363,4767686,14059363,4014002
80000,14059363,4767686,14059363,4013928
81000,14059363,4767686,14059363,4013857
82000,14059363,4767686,14059363,4013714
83000,14059363,4767686,14059363,4013950
84000,14059363,4767686,14059363,4013425
85000,14059363,4767686,14059363,4013677
86000,14059363,4767686,14059363,4013682
87000,14059363,4767686,14059363,4013508
88000,14059363,4767686,14059363,4013961
89000,14059363,4767686,14059363,4013718
90000,14059363,4767686,14059363,4013342
91000,14059363,4767686,14059363,4013672
92000,14059363,4767686,14059363,4013535
93000,14059363,4767686,14059363,4013495
94000,14059363,4767686,14059363,4013599
95000,14059363,4767686,14059363,4013329
96000,14059363,4767686,14059363,4013401
97000,14059363,4767686,14059363,4013029
98000,14059363,4767686,14059363,4013169
99000,14059363,4767686,14059363,4013766
100000,14059363,4767686,14059363,4013253
101000,14059363,4767686,14059363,4013063
102000,14059363,4767686,14059363,4013038
103000,14059363,4767686,14059363,4012978
104000,14059363,4767686,14059363,4013021
105000,14059363,4767686,14059363,4013198
106000,14059363,4767686,14059363,4013205
107000,14059363,4767686,14059363,4013038
108000,14059363,4767686,14059363,4013114
109000,14059363,4767686,14059363,4012979
110000,14059363,4767686,14059363,4012975
111000,14059363,4767686,14059363,4013046
112000,14059363,4767686,14059363,4012914
113000,14059363,4767686,14059363,4012704
