Blocksize,RelSize
1000,0.887519
2000,0.830998
3000,0.79598
4000,0.780613
5000,0.763686
6000,0.755313
7000,0.748584
8000,0.742844
9000,0.732254
10000,0.728338
11000,0.72331
12000,0.721169
13000,0.716877
14000,0.713673
15000,0.712159
16000,0.709125
17000,0.706794
18000,0.704969
19000,0.701948
20000,0.701033
21000,0.698909
22000,0.695946
23000,0.695333
24000,0.69409
25000,0.692345
26000,0.690699
27000,0.689823
28000,0.688334
29000,0.687508
30000,0.686085
31000,0.684604
32000,0.683439
33000,0.684422
34000,0.689543
35000,0.691255
36000,0.692769
37000,0.692313
38000,0.693383
39000,0.693363
40000,0.69509
41000,0.693353
42000,0.693396
43000,0.69365
44000,0.692964
45000,0.693036
46000,0.691362
47000,0.69189
48000,0.691904
49000,0.690401
50000,0.690821
51000,0.690756
52000,0.690127
53000,0.688491
54000,0.689599
55000,0.688098
56000,0.687773
57000,0.687063
58000,0.687142
59000,0.686255
60000,0.685827
61000,0.685129
62000,0.684305
63000,0.68426
64000,0.683132
65000,0.682714
66000,0.683961
67000,0.685722
68000,0.687033
69000,0.68753
70000,0.68808
71000,0.688707
72000,0.688737
73000,0.689
74000,0.688335
75000,0.688581
76000,0.689014
77000,0.687979
78000,0.687482
79000,0.687837
80000,0.688306
81000,0.68876
82000,0.68746
83000,0.687778
84000,0.687604
85000,0.687176
86000,0.686578
87000,0.686877
88000,0.685337
89000,0.685672
90000,0.685341
91000,0.685273
92000,0.68414
93000,0.684075
94000,0.684128
95000,0.683655
96000,0.683084
97000,0.682535
98000,0.682204
99000,0.684009
100000,0.684913
101000,0.684885
102000,0.686301
103000,0.686349
104000,0.68666
105000,0.686669
106000,0.686931
107000,0.6869
108000,0.687317
109000,0.687289
110000,0.685942
111000,0.686496
112000,0.685458
113000,0.686328
114000,0.686116
115000,0.686053
116000,0.685849
117000,0.68511
118000,0.684558
119000,0.6849
120000,0.684957
121000,0.684956
122000,0.684866
123000,0.684422
124000,0.684234
125000,0.684288
126000,0.684161
127000,0.683689
128000,0.68308
129000,0.68273
130000,0.682508
131000,0.682652
132000,0.683814
133000,0.684617
134000,0.684465
135000,0.684569
136000,0.685251
137000,0.685292
138000,0.685079
139000,0.685515
140000,0.685731
141000,0.685449
142000,0.685938
143000,0.685696
144000,0.685492
145000,0.685173
146000,0.685412
147000,0.684597
148000,0.684373
149000,0.685012
150000,0.685208
151000,0.685026
152000,0.684893
153000,0.684574
154000,0.683523
155000,0.683525
156000,0.68404
157000,0.684052
158000,0.683508
159000,0.682912
160000,0.682962
161000,0.682843
162000,0.682647
163000,0.682636
164000,0.683016
165000,0.683543
166000,0.684295
167000,0.684689
168000,0.68418
169000,0.684396
170000,0.68506
171000,0.684755
172000,0.685156
173000,0.684794
174000,0.685408
175000,0.685066
176000,0.68433
177000,0.684145
178000,0.684417
179000,0.684833
180000,0.684781
181000,0.68487
182000,0.684979
183000,0.684724
184000,0.683934
185000,0.683996
186000,0.683643
187000,0.683512
188000,0.683383
189000,0.683905
190000,0.683691
191000,0.683207
192000,0.682549
193000,0.683285
194000,0.682518
195000,0.682587
196000,0.682428
197000,0.683066
198000,0.683391
199000,0.683648
200000,0.684147
201000,0.683815
202000,0.684024
203000,0.684048
204000,0.68431
205000,0.684277
206000,0.684533
207000,0.6842
208000,0.684841
209000,0.68439
210000,0.684273
211000,0.684156
212000,0.684054
213000,0.684411
214000,0.683711
215000,0.684504
216000,0.684671
217000,0.684403
218000,0.684718
219000,0.684039
220000,0.683458
221000,0.683677
222000,0.683574
223000,0.683343
224000,0.682909
225000,0.682586
226000,0.682622
227000,0.682746
228000,0.682638
229000,0.682586
230000,0.683136
231000,0.683419
232000,0.683977
233000,0.684292
234000,0.683944
235000,0.684245
236000,0.683872
237000,0.684261
238000,0.684453
239000,0.684464
240000,0.684888
241000,0.684616
242000,0.684711
243000,0.684294
244000,0.684385
245000,0.684083
246000,0.683958
247000,0.683916
248000,0.684218
249000,0.684353
250000,0.684187
251000,0.684408
252000,0.683817
253000,0.683336
254000,0.683696
255000,0.683425
256000,0.683228
257000,0.682597
258000,0.682537
259000,0.682632
260000,0.682553
261000,0.682582
262000,0.682609
263000,0.68298
264000,0.683423
265000,0.68381
266000,0.684106
267000,0.683961
268000,0.683869
269000,0.683738
270000,0.683395
271000,0.683193
272000,0.683745
273000,0.683586
274000,0.683964
275000,0.683764
276000,0.683542
277000,0.684127
278000,0.683574
279000,0.683646
280000,0.684145
281000,0.683953
282000,0.683985
283000,0.683894
284000,0.683458
285000,0.683082
286000,0.682605
287000,0.682956
288000,0.682684
289000,0.682942
290000,0.682683
291000,0.682574
292000,0.682552
293000,0.682602
294000,0.682367
295000,0.682669
296000,0.683055
297000,0.68338
298000,0.683868
299000,0.684088
300000,0.683938
301000,0.68401
302000,0.683752
303000,0.68375
304000,0.683469
305000,0.684163
306000,0.684019
307000,0.684032
308000,0.683876
309000,0.683577
310000,0.683447
311000,0.683656
312000,0.684032
313000,0.683746
314000,0.684002
315000,0.683959
316000,0.683694
317000,0.683148
318000,0.682898
319000,0.682472
320000,0.682521
321000,0.682176
322000,0.682642
323000,0.682557
324000,0.682874
325000,0.683076
326000,0.682393
327000,0.682578
328000,0.682855
329000,0.683361
330000,0.683354
331000,0.683774
332000,0.684006
333000,0.683908
334000,0.683951
335000,0.683733
336000,0.68346
337000,0.683417
338000,0.683892
339000,0.683867
340000,0.683892
341000,0.683496
342000,0.683539
343000,0.683292
344000,0.683634
345000,0.683815
346000,0.683585
347000,0.683709
348000,0.684015
349000,0.68375
350000,0.683274
351000,0.68296
352000,0.682683
353000,0.682615
354000,0.68224
355000,0.682524
356000,0.682561
357000,0.683038
358000,0.682645
359000,0.682578
360000,0.682484
361000,0.682986
362000,0.68336
363000,0.68347
364000,0.683654
365000,0.683687
366000,0.683871
367000,0.683863
368000,0.683693
369000,0.683614
370000,0.683797
371000,0.683968
372000,0.683771
373000,0.684139
374000,0.683802
375000,0.683726
376000,0.683484
377000,0.683912
378000,0.683612
379000,0.683866
380000,0.683473
381000,0.683664
382000,0.683453
383000,0.683205
384000,0.682959
385000,0.68269
386000,0.682565
387000,0.68266
388000,0.682497
389000,0.682649
390000,0.68253
391000,0.682351
392000,0.682241
393000,0.682591
394000,0.682695
395000,0.682975
396000,0.682999
397000,0.683176
398000,0.682865
399000,0.683229
400000,0.683287
401000,0.683655
402000,0.683318
403000,0.683431
404000,0.683215
405000,0.683029
406000,0.682882
407000,0.682678
408000,0.682493
409000,0.682329
410000,0.682307
411000,0.682448
412000,0.682389
413000,0.6825
414000,0.682495
415000,0.68234
416000,0.682406
417000,0.682323
418000,0.682441
419000,0.68234
420000,0.682458
421000,0.682442
422000,0.682323
423000,0.682783
424000,0.682263
425000,0.682133
426000,0.682639
427000,0.682748
428000,0.682722
429000,0.683103
430000,0.683181
431000,0.682839
432000,0.683227
433000,0.683184
434000,0.683376
435000,0.683145
436000,0.683274
437000,0.6832
438000,0.682942
439000,0.68267
440000,0.682617
441000,0.682458
442000,0.682309
443000,0.682223
444000,0.682172
445000,0.68234
446000,0.682496
447000,0.682396
448000,0.682697
449000,0.682217
450000,0.682241
451000,0.682528
452000,0.682409
453000,0.682338
454000,0.682488
455000,0.6825
456000,0.682569
457000,0.682429
458000,0.682335
459000,0.682592
460000,0.682501
461000,0.682575
462000,0.683024
463000,0.682919
464000,0.682962
465000,0.683034
466000,0.68333
467000,0.683196
468000,0.683099
469000,0.683229
470000,0.683049
471000,0.682955
472000,0.682584
473000,0.682666
474000,0.682394
475000,0.682376
476000,0.682292
477000,0.682256
478000,0.682312
479000,0.682521
480000,0.682528
481000,0.682448
482000,0.68231
483000,0.682414
484000,0.682502
485000,0.682375
486000,0.682267
487000,0.682454
488000,0.68261
489000,0.682655
490000,0.682504
491000,0.682502
492000,0.682656
493000,0.682895
494000,0.682824
495000,0.68292
496000,0.682881
497000,0.683261
498000,0.683228
499000,0.683298
500000,0.683198
501000,0.683255
502000,0.683317
503000,0.683006
504000,0.682904
505000,0.682952
506000,0.682544
507000,0.682349
508000,0.682396
509000,0.68222
510000,0.68247
511000,0.682197
512000,0.682482
513000,0.682384
514000,0.682489
515000,0.682506
516000,0.682433
517000,0.682319
518000,0.682445
519000,0.682325
520000,0.682497
521000,0.682492
522000,0.682604
523000,0.682484
524000,0.682548
525000,0.682621
526000,0.682742
527000,0.682932
528000,0.68299
529000,0.682843
530000,0.683248
531000,0.68321
532000,0.683378
533000,0.683382
534000,0.683233
535000,0.683348
536000,0.68299
537000,0.682984
538000,0.682828
539000,0.682673
540000,0.682456
541000,0.682562
542000,0.682332
543000,0.682407
544000,0.682449
545000,0.682691
546000,0.682629
547000,0.682509
548000,0.682816
549000,0.682578
550000,0.682511
551000,0.682402
552000,0.682426
553000,0.682471
554000,0.682826
555000,0.682508
556000,0.68238
557000,0.682474
558000,0.682638
559000,0.682833
560000,0.683082
561000,0.683176
562000,0.683068
563000,0.683379
564000,0.683361
565000,0.683678
566000,0.683464
567000,0.683418
568000,0.683267
569000,0.683029
570000,0.683015
571000,0.682839
572000,0.68263
573000,0.682619
574000,0.682584
575000,0.682491
