Blocksize,RelSize
100,0.977842
200,0.945164
300,0.916427
400,0.899652
500,0.885985
600,0.86916
700,0.86244
800,0.851735
900,0.840921
1000,0.833133
1100,0.818877
1200,0.81403
1300,0.807088
1400,0.802357
1500,0.793312
1600,0.788862
1700,0.778876
1800,0.776473
1900,0.771917
2000,0.766656
2100,0.755047
2200,0.747002
2300,0.745845
2400,0.743835
2500,0.73706
2600,0.737537
2700,0.729654
2800,0.730524
2900,0.723279
3000,0.724623
3100,0.720044
3200,0.71936
3300,0.713062
3400,0.714194
3500,0.712348
3600,0.709445
3700,0.707451
3800,0.703858
3900,0.704247
4000,0.701919
4100,0.693927
4200,0.692211
4300,0.691606
4400,0.689355
4500,0.689002
4600,0.687926
4700,0.683792
4800,0.687666
4900,0.683601
5000,0.683473
5100,0.678788
5200,0.681479
5300,0.679923
5400,0.676438
5500,0.675152
5600,0.675964
5700,0.674036
5800,0.670679
5900,0.67215
6000,0.671098
6100,0.669814
6200,0.668266
6300,0.668849
6400,0.666566
6500,0.666712
6600,0.665399
6700,0.666693
6800,0.663797
6900,0.663363
7000,0.662822
7100,0.661268
7200,0.663376
7300,0.660491
7400,0.660416
7500,0.659313
7600,0.656927
7700,0.659433
7800,0.656752
7900,0.657712
8000,0.655049
8100,0.656073
8200,0.65126
8300,0.65166
8400,0.650658
8500,0.649139
8600,0.648542
8700,0.648213
8800,0.648563
8900,0.648142
9000,0.646142
9100,0.647354
9200,0.645381
9300,0.645707
9400,0.643917
9500,0.6454
9600,0.645193
9700,0.641499
9800,0.64265
9900,0.641207
10000,0.643215
10100,0.642944
10200,0.640632
10300,0.641395
10400,0.641114
10500,0.638123
10600,0.63969
10700,0.64056
10800,0.638293
10900,0.637863
11000,0.639006
11100,0.638765
11200,0.637747
11300,0.635774
11400,0.635485
11500,0.636686
11600,0.634713
11700,0.63496
11800,0.634732
11900,0.634809
12000,0.634077
12100,0.632814
12200,0.633689
12300,0.63343
12400,0.632239
12500,0.631552
12600,0.629818
12700,0.629428
12800,0.631504
12900,0.631457
13000,0.630208
13100,0.629126
13200,0.630348
13300,0.630887
13400,0.631303
13500,0.627752
13600,0.626954
13700,0.62714
13800,0.627861
13900,0.628126
14000,0.627185
14100,0.625968
14200,0.627103
14300,0.625734
14400,0.629166
14500,0.626212
14600,0.626084
14700,0.626217
14800,0.625135
14900,0.622295
15000,0.624082
15100,0.623146
15200,0.622157
15300,0.622756
15400,0.624477
15500,0.623313
15600,0.622998
15700,0.621579
15800,0.622663
15900,0.622799
16000,0.622401
16100,0.62466
16200,0.623822
16300,0.623186
16400,0.619823
16500,0.62042
16600,0.620497
16700,0.620208
16800,0.621163
16900,0.620961
17000,0.620293
17100,0.619176
17200,0.619343
17300,0.61932
17400,0.618193
17500,0.620094
17600,0.621441
17700,0.620033
17800,0.62086
17900,0.61967
18000,0.617721
18100,0.617386
18200,0.617164
18300,0.615575
18400,0.616299
18500,0.617079
18600,0.617442
18700,0.618312
18800,0.616031
18900,0.615673
19000,0.615803
19100,0.615191
19200,0.615278
19300,0.61601
19400,0.614395
19500,0.615358
19600,0.6147
19700,0.616554
19800,0.61491
19900,0.61465
20000,0.616169
20100,0.617076
20200,0.616681
20300,0.61517
20400,0.614841
20500,0.613587
20600,0.615597
20700,0.613218
20800,0.614995
20900,0.612584
21000,0.612722
21100,0.613494
21200,0.613189
21300,0.613669
21400,0.612743
21500,0.613284
21600,0.613584
21700,0.613555
21800,0.612847
21900,0.611995
22000,0.612939
22100,0.612828
22200,0.610805
22300,0.610081
22400,0.61051
22500,0.610728
22600,0.611542
22700,0.611179
22800,0.610571
22900,0.610964
23000,0.611611
23100,0.612231
23200,0.61146
23300,0.610274
23400,0.609108
23500,0.607808
23600,0.60792
23700,0.608662
23800,0.608241
23900,0.607278
24000,0.607936
24100,0.608546
24200,0.607843
24300,0.609092
24400,0.609097
24500,0.608975
24600,0.609511
24700,0.609524
24800,0.608628
24900,0.608469
25000,0.608113
25100,0.606201
25200,0.605234
25300,0.605265
25400,0.604658
25500,0.604785
25600,0.605114
25700,0.605239
25800,0.605143
25900,0.605263
26000,0.606209
26100,0.605175
26200,0.605719
26300,0.606326
26400,0.607132
26500,0.607098
26600,0.606886
26700,0.60744
26800,0.607132
26900,0.605875
27000,0.60478
27100,0.604205
27200,0.604024
27300,0.603189
27400,0.602306
27500,0.603094
27600,0.602619
27700,0.603465
27800,0.603006
27900,0.602332
28000,0.603441
28100,0.604382
28200,0.602317
28300,0.602415
28400,0.603627
28500,0.603916
28600,0.603409
28700,0.604597
28800,0.605072
28900,0.603778
29000,0.602513
29100,0.602179
29200,0.602823
29300,0.602754
29400,0.602558
29500,0.602269
29600,0.602078
29700,0.600399
29800,0.600768
29900,0.600092
30000,0.600787
30100,0.600574
30200,0.600532
30300,0.600413
30400,0.60041
30500,0.599864
30600,0.600588
30700,0.600418
30800,0.600919
30900,0.601943
31000,0.599707
31100,0.600254
31200,0.600508
31300,0.59953
31400,0.599079
31500,0.599861
31600,0.600208
31700,0.599949
31800,0.599784
31900,0.599408
32000,0.600028
32100,0.600137
32200,0.600848
32300,0.600723
32400,0.600277
32500,0.599744
32600,0.599058
32700,0.598426
32800,0.59832
32900,0.599628
33000,0.600829
33100,0.601847
33200,0.602444
33300,0.603828
33400,0.604427
33500,0.602704
33600,0.604897
33700,0.605366
33800,0.604907
33900,0.604167
34000,0.605175
34100,0.605515
34200,0.605867
34300,0.606313
34400,0.605355
34500,0.605774
34600,0.605888
34700,0.606008
34800,0.606151
34900,0.605896
35000,0.606573
35100,0.607002
35200,0.607299
35300,0.607278
35400,0.607522
35500,0.609243
35600,0.609174
35700,0.609177
35800,0.609824
35900,0.609354
36000,0.609171
36100,0.608917
36200,0.609423
36300,0.608747
36400,0.609344
36500,0.609474
36600,0.610343
36700,0.609805
36800,0.608524
36900,0.60901
37000,0.608286
37100,0.608569
37200,0.607546
37300,0.607991
37400,0.609222
37500,0.610028
37600,0.608028
37700,0.607259
37800,0.607957
37900,0.608453
38000,0.607975
38100,0.607469
38200,0.606817
38300,0.607254
38400,0.607694
38500,0.607811
38600,0.608927
38700,0.607641
38800,0.60757
38900,0.608137
39000,0.608567
39100,0.608121
39200,0.608675
39300,0.609323
39400,0.61116
39500,0.610866
39600,0.609551
39700,0.609564
39800,0.609696
39900,0.609195
40000,0.610017
40100,0.610611
40200,0.611333
40300,0.611221
40400,0.611351
40500,0.610031
40600,0.60923
40700,0.609442
40800,0.60928
40900,0.609007
41000,0.609338
41100,0.609776
41200,0.609768
41300,0.610227
41400,0.609715
41500,0.610961
41600,0.611195
41700,0.610611
41800,0.608755
41900,0.60893
42000,0.608758
42100,0.609185
42200,0.608819
42300,0.608967
42400,0.6081
42500,0.60831
42600,0.609216
42700,0.608678
42800,0.608514
42900,0.607535
43000,0.606957
43100,0.606626
43200,0.606597
43300,0.605928
43400,0.605979
43500,0.60626
43600,0.605562
43700,0.604952
43800,0.605464
43900,0.605663
44000,0.605915
44100,0.606742
44200,0.606236
44300,0.605745
44400,0.606003
44500,0.605528
44600,0.604788
44700,0.605
44800,0.605379
44900,0.605353
45000,0.605562
45100,0.60552
45200,0.606729
45300,0.606032
45400,0.606
45500,0.605687
45600,0.605674
45700,0.605363
45800,0.605965
45900,0.606957
46000,0.608633
46100,0.608052
46200,0.607588
46300,0.607111
46400,0.607119
46500,0.605716
46600,0.605838
46700,0.605652
46800,0.606331
46900,0.606069
47000,0.605939
47100,0.605782
47200,0.605788
47300,0.606063
47400,0.606162
47500,0.606525
47600,0.605684
47700,0.606093
47800,0.60522
47900,0.605987
48000,0.606143
48100,0.607241
48200,0.607994
48300,0.607739
48400,0.607122
48500,0.607307
48600,0.607397
48700,0.607397
48800,0.607204
48900,0.60719
49000,0.606642
49100,0.605377
49200,0.604963
49300,0.60434
49400,0.605401
49500,0.605016
49600,0.605679
49700,0.60491
49800,0.604605
49900,0.604942
50000,0.605021
50100,0.604435
50200,0.60412
