Blocksize,RelSize
100,0.975226
200,0.926151
300,0.883322
400,0.855636
500,0.840835
600,0.816717
700,0.797428
800,0.787928
900,0.775672
1000,0.768403
1100,0.754389
1200,0.744286
1300,0.734733
1400,0.725915
1500,0.721191
1600,0.721795
1700,0.714631
1800,0.706653
1900,0.701457
2000,0.698491
2100,0.685291
2200,0.689332
2300,0.678835
2400,0.678021
2500,0.672431
2600,0.673691
2700,0.67272
2800,0.670043
2900,0.663482
3000,0.661252
3100,0.66364
3200,0.656344
3300,0.660123
3400,0.657079
3500,0.651621
3600,0.651306
3700,0.65456
3800,0.647999
3900,0.6475
4000,0.644456
4100,0.641307
4200,0.636294
4300,0.637029
4400,0.636085
4500,0.632594
4600,0.631256
4700,0.628736
4800,0.625928
4900,0.623225
5000,0.625902
5100,0.625981
5200,0.626716
5300,0.628185
5400,0.623173
5500,0.62354
5600,0.619971
5700,0.617662
5800,0.618187
5900,0.615877
6000,0.615693
6100,0.617924
6200,0.617924
6300,0.614303
6400,0.611232
6500,0.609001
6600,0.612964
6700,0.610051
6800,0.609106
6900,0.609553
7000,0.609553
7100,0.606062
7200,0.607611
7300,0.608608
7400,0.609762
7500,0.603228
7600,0.599895
7700,0.596378
7800,0.594489
7900,0.592075
8000,0.594358
8100,0.591471
8200,0.589581
8300,0.591209
8400,0.595302
8500,0.594778
8600,0.5963
8700,0.599029
8800,0.597035
8900,0.596011
9000,0.594541
9100,0.598006
9200,0.597953
9300,0.59853
9400,0.594515
9500,0.592442
9600,0.590395
9700,0.589188
9800,0.589319
9900,0.590369
10000,0.589529
10100,0.588873
10200,0.590421
10300,0.588505
10400,0.588086
10500,0.585435
10600,0.581498
10700,0.578927
10800,0.579871
10900,0.581577
11000,0.581446
11100,0.58016
11200,0.577168
11300,0.574492
11400,0.572366
11500,0.572313
11600,0.572838
11700,0.57066
11800,0.567091
11900,0.565254
12000,0.566461
12100,0.568849
12200,0.568377
12300,0.568666
12400,0.568561
12500,0.566435
12600,0.566409
12700,0.564335
