Blocksize,RelSize
100,0.903303
200,0.833545
300,0.791045
400,0.762357
500,0.742067
600,0.722248
700,0.70832
800,0.698159
900,0.691691
1000,0.677389
1100,0.662511
1200,0.656182
1300,0.650184
1400,0.639959
1500,0.636662
1600,0.634217
1700,0.624943
1800,0.617909
1900,0.609755
2000,0.605614
2100,0.601238
2200,0.588687
2300,0.590106
2400,0.587993
2500,0.579327
2600,0.57764
2700,0.58192
2800,0.573222
2900,0.566861
3000,0.560371
3100,0.557372
3200,0.560318
3300,0.552996
3400,0.56003
3500,0.541117
3600,0.547361
3700,0.545974
3800,0.547511
3900,0.533593
4000,0.536603
4100,0.522973
4200,0.539356
4300,0.519633
4400,0.520263
4500,0.517616
4600,0.521928
4700,0.506975
4800,0.515919
4900,0.520401
5000,0.517616
5100,0.518896
5200,0.496345
5300,0.496355
5400,0.509195
5500,0.491478
5600,0.499055
5700,0.503634
5800,0.498735
5900,0.488756
6000,0.485864
6100,0.501051
6200,0.492726
6300,0.497145
6400,0.483505
6500,0.480901
6600,0.482427
6700,0.479567
6800,0.480677
6900,0.485245
7000,0.480175
7100,0.478094
7200,0.470527
7300,0.47471
7400,0.477667
7500,0.474497
7600,0.481808
7700,0.472448
7800,0.464432
7900,0.457378
8000,0.457346
8100,0.461988
8200,0.462607
8300,0.474422
8400,0.470345
8500,0.459309
8600,0.451027
8700,0.444677
8800,0.439565
8900,0.438316
9000,0.437718
9100,0.441571
9200,0.444165
9300,0.442841
9400,0.448925
9500,0.452308
9600,0.450857
9700,0.453589
9800,0.454197
9900,0.449789
10000,0.447516
10100,0.450366
10200,0.445413
10300,0.43712
10400,0.433406
10500,0.431474
10600,0.432403
10700,0.439063
10800,0.441849
10900,0.444741
11000,0.44346
11100,0.444794
11200,0.444047
11300,0.444314
11400,0.446075
11500,0.443161
11600,0.43679
11700,0.431314
11800,0.425071
11900,0.416426
12000,0.41412
12100,0.415508
12200,0.416308
12300,0.415721
12400,0.422306
12500,0.425551
12600,0.426885
12700,0.426245
12800,0.421111
12900,0.419756
13000,0.421773
13100,0.428315
13200,0.425103
13300,0.424057
13400,0.422093
13500,0.423043
13600,0.421143
13700,0.417696
13800,0.418101
13900,0.415156
14000,0.412669
14100,0.411281
14200,0.408634
14300,0.405966
