Blocksize,RelSize
100,1.01405
200,1.00284
300,0.998828
400,0.994131
500,0.992285
600,0.990752
700,0.989707
800,0.98875
900,0.988643
1000,0.988428
1100,0.987754
1200,0.987549
1300,0.987588
1400,0.986719
1500,0.985566
1600,0.985488
1700,0.986533
1800,0.985234
1900,0.985078
2000,0.984639
2100,0.98292
2200,0.983398
2300,0.984365
2400,0.98415
2500,0.982227
2600,0.983506
2700,0.983057
2800,0.983779
2900,0.982578
3000,0.983184
3100,0.98582
3200,0.982588
3300,0.983105
3400,0.983965
3500,0.98458
3600,0.98166
3700,0.982305
3800,0.981699
3900,0.982607
4000,0.982568
4100,0.985459
4200,0.981357
4300,0.981455
4400,0.980615
4500,0.981748
4600,0.981348
4700,0.981836
4800,0.981787
4900,0.981807
5000,0.981875
5100,0.981592
5200,0.981992
5300,0.980879
5400,0.980879
5500,0.980215
5600,0.981367
5700,0.980586
5800,0.980811
5900,0.979863
6000,0.978379
6100,0.978779
6200,0.980186
6300,0.980723
6400,0.980879
6500,0.981006
6600,0.979707
6700,0.978516
6800,0.979492
6900,0.978848
7000,0.980225
7100,0.978232
7200,0.977646
7300,0.978457
7400,0.977803
7500,0.977783
7600,0.977412
7700,0.978447
7800,0.976426
7900,0.977627
8000,0.976133
8100,0.975313
8200,0.976367
8300,0.977949
8400,0.97624
8500,0.975537
8600,0.976113
8700,0.975107
8800,0.97585
8900,0.973984
9000,0.975146
9100,0.974619
9200,0.975459
9300,0.974971
9400,0.975645
9500,0.975801
9600,0.975859
9700,0.976094
9800,0.974639
9900,0.974336
10000,0.973994
10100,0.973037
10200,0.973535
10300,0.973691
10400,0.973818
10500,0.974023
10600,0.97417
10700,0.973916
10800,0.974189
10900,0.974131
11000,0.973516
11100,0.974482
11200,0.972207
11300,0.973174
11400,0.971475
11500,0.972852
11600,0.974004
11700,0.973613
11800,0.971367
11900,0.972344
12000,0.970762
12100,0.970645
12200,0.971182
12300,0.97085
12400,0.970938
12500,0.97334
12600,0.970225
12700,0.974395
12800,0.971084
12900,0.97166
13000,0.973975
13100,0.970254
13200,0.971719
13300,0.971387
13400,0.969736
13500,0.970957
13600,0.970791
13700,0.972695
13800,0.970664
13900,0.971328
14000,0.971387
14100,0.97042
14200,0.969141
14300,0.969824
14400,0.969258
14500,0.96875
14600,0.969287
14700,0.969307
14800,0.9675
14900,0.969258
15000,0.969307
15100,0.968164
15200,0.967617
15300,0.969131
15400,0.97001
15500,0.971709
15600,0.969063
15700,0.969609
15800,0.971162
15900,0.968643
16000,0.969121
16100,0.967539
16200,0.967822
16300,0.970039
16400,0.968369
16500,0.966709
16600,0.969043
16700,0.966846
16800,0.966836
16900,0.966475
17000,0.966299
17100,0.967402
17200,0.967373
17300,0.968838
17400,0.966572
17500,0.967627
17600,0.967158
17700,0.965488
17800,0.965459
17900,0.965234
18000,0.966406
18100,0.966504
18200,0.966387
18300,0.966631
18400,0.967187
18500,0.964893
18600,0.965615
18700,0.96709
18800,0.967256
18900,0.965742
19000,0.967324
19100,0.967842
19200,0.967881
19300,0.968018
19400,0.969531
19500,0.967373
19600,0.966016
19700,0.966885
19800,0.96457
19900,0.965898
20000,0.963848
20100,0.964863
20200,0.965322
20300,0.967041
20400,0.965273
20500,0.964434
20600,0.963809
20700,0.963945
20800,0.965898
20900,0.966338
21000,0.964268
21100,0.965371
21200,0.964844
21300,0.964346
21400,0.964746
21500,0.965615
21600,0.965283
21700,0.965928
21800,0.966855
21900,0.964678
22000,0.96499
22100,0.965098
22200,0.964893
22300,0.96498
22400,0.96332
22500,0.965195
22600,0.964697
22700,0.965928
22800,0.961973
22900,0.963506
23000,0.964277
23100,0.964043
23200,0.96376
23300,0.96335
23400,0.96292
23500,0.962393
23600,0.962051
23700,0.963271
23800,0.962539
23900,0.962939
24000,0.960908
24100,0.962119
24200,0.961875
24300,0.96208
24400,0.961562
24500,0.960615
24600,0.960957
24700,0.961348
24800,0.961572
24900,0.960518
25000,0.963535
25100,0.964883
25200,0.960352
25300,0.965195
25400,0.965479
25500,0.961045
25600,0.962939
25700,0.963203
25800,0.961035
25900,0.962432
26000,0.963047
26100,0.961455
26200,0.960039
26300,0.961924
26400,0.962705
26500,0.962871
26600,0.961934
26700,0.961553
26800,0.961387
26900,0.961162
27000,0.960791
27100,0.963428
27200,0.962637
27300,0.961514
27400,0.962295
27500,0.960439
27600,0.960273
27700,0.963223
27800,0.96043
27900,0.96001
28000,0.963213
28100,0.961758
28200,0.960391
28300,0.960781
28400,0.960723
28500,0.961797
