Blocksize,RelSize
100,1.00411
200,0.969768
300,0.933783
400,0.912651
500,0.891605
600,0.86821
700,0.85619
800,0.844366
900,0.832322
1000,0.823891
1100,0.807443
1200,0.803513
1300,0.793331
1400,0.78636
1500,0.783379
1600,0.776494
1700,0.771567
1800,0.764669
1900,0.761785
2000,0.755885
2100,0.744376
2200,0.741615
2300,0.736262
2400,0.73507
2500,0.728026
2600,0.725167
2700,0.723804
2800,0.719449
2900,0.719096
3000,0.718403
3100,0.714388
3200,0.710155
3300,0.710009
3400,0.706675
3500,0.707357
3600,0.704218
3700,0.703318
3800,0.700787
3900,0.698889
4000,0.695641
4100,0.692186
4200,0.689461
4300,0.690519
4400,0.687746
4500,0.687076
4600,0.683524
4700,0.682174
4800,0.682186
4900,0.67968
5000,0.678013
5100,0.680422
5200,0.677879
5300,0.675337
5400,0.675166
5500,0.674874
5600,0.67367
5700,0.673098
5800,0.672478
5900,0.669801
6000,0.671784
6100,0.668366
6200,0.66957
6300,0.668135
6400,0.665276
6500,0.663244
6600,0.665775
6700,0.664911
6800,0.66131
6900,0.659667
7000,0.660543
7100,0.661541
7200,0.659789
7300,0.659363
7400,0.659911
7500,0.6562
7600,0.657733
7700,0.659607
7800,0.657502
7900,0.655762
8000,0.655811
8100,0.655349
8200,0.650458
8300,0.650069
8400,0.650008
8500,0.650628
8600,0.65002
8700,0.648791
8800,0.64676
8900,0.647052
9000,0.647015
9100,0.644424
9200,0.644558
9300,0.643463
9400,0.642745
9500,0.64457
9600,0.643207
9700,0.642137
9800,0.643159
9900,0.644156
10000,0.642064
10100,0.643828
10200,0.640689
10300,0.639314
10400,0.63974
10500,0.639083
10600,0.638536
10700,0.639436
10800,0.637708
10900,0.637076
11000,0.637404
11100,0.637502
11200,0.636504
11300,0.633949
11400,0.635762
11500,0.63502
11600,0.634558
11700,0.631407
11800,0.630957
11900,0.631115
12000,0.632538
12100,0.631054
12200,0.631285
12300,0.631978
12400,0.63311
12500,0.63182
12600,0.630275
12700,0.631614
12800,0.630129
12900,0.629339
13000,0.62766
13100,0.628536
13200,0.628609
13300,0.629278
13400,0.627623
13500,0.626589
13600,0.625093
13700,0.623548
13800,0.622733
13900,0.623815
14000,0.623037
14100,0.622745
14200,0.624168
14300,0.624813
14400,0.624132
14500,0.624436
14600,0.623864
14700,0.625227
14800,0.624764
14900,0.625044
15000,0.625068
15100,0.625981
15200,0.625166
15300,0.624764
15400,0.625665
15500,0.624959
15600,0.62412
15700,0.622161
15800,0.621115
15900,0.620956
16000,0.619959
16100,0.619083
16200,0.618487
16300,0.617939
16400,0.617453
16500,0.617745
16600,0.618134
16700,0.618171
16800,0.617635
16900,0.617295
17000,0.617684
17100,0.617769
17200,0.618633
17300,0.618645
17400,0.61856
17500,0.618329
17600,0.617197
17700,0.618742
17800,0.618353
17900,0.618244
18000,0.619351
18100,0.618949
18200,0.617806
18300,0.618085
18400,0.618207
18500,0.617672
18600,0.617319
18700,0.617842
18800,0.61693
18900,0.616188
19000,0.616905
19100,0.616455
19200,0.616017
19300,0.615689
19400,0.61581
19500,0.614229
19600,0.614363
19700,0.613122
19800,0.612793
19900,0.612538
20000,0.611431
20100,0.611297
20200,0.61154
20300,0.610105
20400,0.608706
20500,0.608231
20600,0.60783
20700,0.606346
20800,0.607221
20900,0.60626
21000,0.60609
21100,0.605263
21200,0.606017
21300,0.606577
21400,0.606698
21500,0.606054
21600,0.605628
21700,0.606066
21800,0.605445
21900,0.605336
22000,0.605652
22100,0.606394
22200,0.60609
22300,0.606467
22400,0.605518
22500,0.604411
22600,0.604922
22700,0.605105
22800,0.606224
22900,0.607003
23000,0.606942
23100,0.607684
23200,0.606966
23300,0.606747
23400,0.605786
23500,0.606066
23600,0.605664
23700,0.606151
23800,0.605336
23900,0.605166
24000,0.606333
24100,0.604825
24200,0.604375
24300,0.604582
24400,0.604861
24500,0.605384
24600,0.605153
24700,0.605421
24800,0.606163
24900,0.605445
25000,0.605409
25100,0.60502
25200,0.604569
25300,0.603754
25400,0.605518
25500,0.604995
25600,0.604046
25700,0.603219
25800,0.603073
25900,0.602732
26000,0.602465
26100,0.602513
26200,0.602757
26300,0.601893
26400,0.601248
26500,0.600968
26600,0.600701
26700,0.599764
26800,0.599071
26900,0.599241
27000,0.598535
27100,0.599071
27200,0.597805
27300,0.596747
27400,0.595251
27500,0.596175
27600,0.595786
27700,0.595907
27800,0.595774
27900,0.596613
28000,0.596869
28100,0.596747
28200,0.596479
28300,0.596333
28400,0.596589
28500,0.597526
28600,0.598195
28700,0.597197
28800,0.596832
28900,0.596528
29000,0.596504
29100,0.596893
29200,0.596041
29300,0.596698
29400,0.597161
29500,0.597538
29600,0.597197
29700,0.597063
29800,0.597282
29900,0.596905
30000,0.597842
30100,0.597842
30200,0.597976
30300,0.597659
30400,0.597477
30500,0.596041
30600,0.595676
30700,0.596248
30800,0.595956
30900,0.59637
31000,0.596443
31100,0.596552
31200,0.596905
31300,0.595993
31400,0.595725
31500,0.595384
31600,0.595287
31700,0.595433
31800,0.595603
31900,0.594995
32000,0.594642
32100,0.594448
32200,0.594022
32300,0.593839
32400,0.593414
32500,0.593292
32600,0.59345
32700,0.593462
32800,0.593937
32900,0.595543
33000,0.596504
33100,0.596954
33200,0.597976
33300,0.598438
33400,0.599046
33500,0.599484
33600,0.598949
33700,0.599241
33800,0.599107
33900,0.599168
34000,0.60008
34100,0.601747
34200,0.601759
34300,0.602161
34400,0.602526
34500,0.602939
34600,0.60311
34700,0.603791
34800,0.603438
34900,0.603693
35000,0.603474
35100,0.604375
35200,0.604302
35300,0.605445
35400,0.605981
35500,0.606187
35600,0.606613
35700,0.60699
35800,0.607234
35900,0.607903
36000,0.607769
36100,0.607708
36200,0.607611
36300,0.608365
36400,0.60856
36500,0.609277
36600,0.60935
36700,0.60935
36800,0.608742
36900,0.60772
37000,0.60817
37100,0.608158
37200,0.607745
37300,0.608621
37400,0.608827
37500,0.608487
37600,0.608402
37700,0.609411
37800,0.608024
37900,0.607599
38000,0.608268
38100,0.608256
38200,0.608134
38300,0.608718
38400,0.608292
38500,0.608815
38600,0.608268
38700,0.608146
38800,0.60845
38900,0.608913
39000,0.607818
39100,0.608329
39200,0.608402
39300,0.608085
39400,0.607976
39500,0.607526
39600,0.608523
39700,0.607732
39800,0.608024
39900,0.607331
40000,0.606419
40100,0.607526
40200,0.606297
40300,0.606759
40400,0.605932
40500,0.605932
40600,0.605835
40700,0.60564
40800,0.605312
40900,0.605105
41000,0.603389
41100,0.602939
41200,0.602574
41300,0.602185
41400,0.601942
41500,0.602148
41600,0.60238
41700,0.602574
41800,0.602477
41900,0.601637
42000,0.602501
42100,0.602002
42200,0.601516
42300,0.601771
42400,0.602161
42500,0.602708
42600,0.602392
42700,0.603061
42800,0.602416
42900,0.603037
43000,0.601856
43100,0.60126
43200,0.60244
43300,0.602964
43400,0.603195
43500,0.60255
43600,0.602538
43700,0.601528
43800,0.601613
43900,0.602392
44000,0.602124
44100,0.601978
44200,0.601844
44300,0.602002
44400,0.601905
44500,0.601893
44600,0.602015
44700,0.601686
44800,0.600883
44900,0.601151
45000,0.601224
45100,0.601479
45200,0.601139
45300,0.601054
45400,0.601151
45500,0.601029
45600,0.601516
45700,0.601516
45800,0.602234
45900,0.601844
46000,0.60244
46100,0.601492
46200,0.601601
46300,0.600372
46400,0.600871
46500,0.600798
46600,0.600311
46700,0.599727
46800,0.599472
46900,0.599521
47000,0.599204
47100,0.598852
47200,0.598414
47300,0.598523
47400,0.59873
47500,0.598389
47600,0.598012
47700,0.598158
47800,0.597708
47900,0.597842
48000,0.598596
48100,0.59789
48200,0.598292
48300,0.597963
48400,0.598304
48500,0.597428
48600,0.597428
48700,0.597148
48800,0.596516
48900,0.596126
49000,0.596394
49100,0.596078
49200,0.596041
49300,0.596236
49400,0.595713
49500,0.595871
49600,0.595725
49700,0.59564
49800,0.595652
49900,0.596078
50000,0.595737
50100,0.595944
50200,0.595263
50300,0.594861
50400,0.595457
50500,0.595506
50600,0.595311
50700,0.595676
50800,0.596272
50900,0.596455
51000,0.596066
51100,0.59609
51200,0.595847
51300,0.595628
51400,0.595433
51500,0.595652
51600,0.595907
51700,0.595664
51800,0.59564
51900,0.595409
52000,0.595445
52100,0.595993
52200,0.596078
52300,0.595834
52400,0.595847
52500,0.595944
52600,0.595433
52700,0.595506
52800,0.595445
52900,0.59547
53000,0.59553
53100,0.596114
53200,0.596187
53300,0.596151
53400,0.595993
53500,0.595676
53600,0.595762
53700,0.59581
53800,0.595956
53900,0.59547
54000,0.595847
54100,0.595616
54200,0.596053
54300,0.596017
54400,0.59598
54500,0.595895
54600,0.59519
54700,0.59553
54800,0.595518
54900,0.595774
55000,0.596309
55100,0.596029
55200,0.596297
55300,0.596406
55400,0.596723
55500,0.596199
55600,0.596467
55700,0.596078
55800,0.596394
55900,0.596735
56000,0.596832
56100,0.596394
56200,0.596686
56300,0.596321
56400,0.596358
56500,0.596698
56600,0.596686
56700,0.596564
56800,0.596625
56900,0.597781
57000,0.597477
57100,0.597173
57200,0.597647
57300,0.59755
57400,0.597088
57500,0.596954
57600,0.596796
57700,0.596771
57800,0.596382
57900,0.596418
58000,0.596418
58100,0.596516
58200,0.596662
58300,0.595993
58400,0.595798
58500,0.596187
58600,0.596114
58700,0.596589
58800,0.596832
58900,0.596491
59000,0.596723
59100,0.596783
59200,0.596662
59300,0.596637
59400,0.596832
59500,0.596577
59600,0.596796
59700,0.596552
59800,0.59626
59900,0.596698
60000,0.596856
60100,0.597294
60200,0.596929
60300,0.596893
60400,0.597039
60500,0.596662
60600,0.596832
60700,0.596577
60800,0.596406
60900,0.596078
61000,0.596017
61100,0.595749
61200,0.595457
61300,0.595907
61400,0.596102
61500,0.595603
61600,0.595433
61700,0.595652
61800,0.595956
61900,0.595786
62000,0.595847
62100,0.595737
62200,0.595834
62300,0.595749
62400,0.596151
62500,0.595409
62600,0.595153
62700,0.594679
62800,0.594667
62900,0.594581
63000,0.594545
63100,0.594411
63200,0.594715
63300,0.594508
63400,0.594861
63500,0.595044
63600,0.594995
63700,0.594594
63800,0.594496
63900,0.594192
64000,0.594119
64100,0.594362
64200,0.593876
64300,0.593791
64400,0.593815
64500,0.593693
64600,0.593742
64700,0.593499
64800,0.593109
64900,0.59328
65000,0.59317
65100,0.593268
65200,0.593255
65300,0.593243
65400,0.593426
65500,0.593596
65600,0.5939
65700,0.594508
65800,0.594399
65900,0.595494
66000,0.595737
66100,0.595834
66200,0.596126
66300,0.596443
66400,0.596881
66500,0.596601
66600,0.596942
66700,0.596577
66800,0.596723
66900,0.597039
67000,0.597173
67100,0.59682
67200,0.596747
67300,0.597148
67400,0.596479
67500,0.596808
67600,0.596321
67700,0.59665
67800,0.596528
67900,0.597015
68000,0.596966
68100,0.597197
68200,0.59744
68300,0.597586
68400,0.597976
68500,0.598134
68600,0.597903
68700,0.597988
68800,0.598304
68900,0.598304
69000,0.598438
69100,0.598985
69200,0.598633
69300,0.599241
69400,0.599034
69500,0.598584
69600,0.598718
69700,0.598718
69800,0.599204
69900,0.598912
70000,0.598706
70100,0.598426
70200,0.598985
70300,0.598791
70400,0.598815
70500,0.599229
70600,0.599557
70700,0.599654
70800,0.599569
70900,0.599825
71000,0.599703
71100,0.599825
71200,0.599934
71300,0.599983
71400,0.599727
71500,0.599436
71600,0.600019
71700,0.600141
71800,0.60019
71900,0.600397
72000,0.60036
72100,0.600226
72200,0.600348
72300,0.600165
72400,0.600628
72500,0.600908
72600,0.600616
72700,0.600798
72800,0.600774
72900,0.600798
73000,0.600871
73100,0.600774
73200,0.600932
73300,0.600968
73400,0.601224
73500,0.601175
73600,0.601175
73700,0.601187
73800,0.600567
73900,0.600579
74000,0.600579
74100,0.600482
74200,0.60053
74300,0.600591
74400,0.60064
74500,0.600749
74600,0.600749
74700,0.600482
74800,0.600676
74900,0.600555
75000,0.600494
75100,0.60047
75200,0.600603
75300,0.600603
75400,0.600299
75500,0.60036
75600,0.600263
75700,0.60064
75800,0.600129
75900,0.600165
76000,0.600457
76100,0.600786
76200,0.600616
76300,0.600482
76400,0.600275
76500,0.600482
76600,0.600311
76700,0.600238
76800,0.600007
76900,0.600044
77000,0.600384
77100,0.599679
77200,0.5998
77300,0.599496
77400,0.599654
77500,0.599825
77600,0.599849
77700,0.599654
77800,0.599521
77900,0.59918
78000,0.599071
78100,0.598803
78200,0.599363
78300,0.599022
78400,0.599107
78500,0.5989
78600,0.598864
78700,0.599022
78800,0.59862
78900,0.598499
79000,0.597939
79100,0.597951
79200,0.597769
79300,0.597805
79400,0.597744
79500,0.597744
79600,0.597659
79700,0.597343
79800,0.597221
79900,0.596929
80000,0.596856
80100,0.597027
80200,0.597015
80300,0.596881
80400,0.596844
80500,0.596832
80600,0.596844
80700,0.596893
80800,0.597027
80900,0.596735
81000,0.596577
81100,0.596844
81200,0.596504
81300,0.596236
81400,0.596163
81500,0.595871
81600,0.595384
81700,0.594825
81800,0.594618
81900,0.59435
82000,0.594423
82100,0.593803
