Blocksize,RelSize
100,0.309316
200,0.282612
300,0.260832
400,0.248371
500,0.237863
600,0.230088
700,0.223596
800,0.220439
900,0.216901
1000,0.213935
1100,0.210543
1200,0.208988
1300,0.207355
1400,0.205251
1500,0.204516
1600,0.203343
1700,0.202001
1800,0.201171
1900,0.200163
2000,0.199419
2100,0.198131
2200,0.197192
2300,0.196656
2400,0.196831
2500,0.196169
2600,0.195727
2700,0.195321
2800,0.194343
2900,0.194102
3000,0.193511
3100,0.193636
3200,0.193517
3300,0.193069
3400,0.192533
3500,0.192157
3600,0.191841
3700,0.191654
3800,0.191416
3900,0.191241
4000,0.191118
4100,0.190623
4200,0.190364
4300,0.190279
4400,0.190017
4500,0.189945
4600,0.189616
4700,0.189749
4800,0.189505
4900,0.189334
5000,0.189351
5100,0.189008
5200,0.188924
5300,0.188599
5400,0.188597
5500,0.188451
5600,0.188198
5700,0.18811
5800,0.187952
5900,0.187802
6000,0.187654
6100,0.188427
6200,0.187936
6300,0.187936
6400,0.187233
6500,0.187611
6600,0.1872
6700,0.187938
6800,0.186972
6900,0.187204
7000,0.187077
7100,0.186952
7200,0.186799
7300,0.186945
7400,0.186945
7500,0.186645
7600,0.186479
7700,0.186286
7800,0.186693
7900,0.186573
8000,0.186512
8100,0.18635
8200,0.186126
8300,0.186171
8400,0.18599
8500,0.18575
8600,0.185846
8700,0.18555
8800,0.185951
8900,0.185818
9000,0.185741
9100,0.185931
9200,0.185435
9300,0.185791
9400,0.185324
9500,0.185783
9600,0.185815
9700,0.1854
9800,0.185318
9900,0.185532
10000,0.185164
10100,0.185096
10200,0.18506
10300,0.184877
10400,0.185111
10500,0.185353
10600,0.185113
10700,0.184959
10800,0.184899
10900,0.185018
11000,0.184817
11100,0.184836
11200,0.18461
11300,0.185064
11400,0.184899
11500,0.184616
11600,0.184673
11700,0.184595
11800,0.184456
11900,0.18469
12000,0.184589
12100,0.184472
12200,0.184823
12300,0.184581
12400,0.184554
12500,0.184365
12600,0.184318
12700,0.18432
12800,0.184293
12900,0.18434
13000,0.18439
13100,0.184267
13200,0.184287
13300,0.184228
13400,0.184451
13500,0.184484
13600,0.183919
13700,0.183878
13800,0.18411
13900,0.184184
14000,0.184018
14100,0.183989
14200,0.183932
14300,0.184131
14400,0.184293
