Blocksize,RelSize
100,0.943097
200,0.876373
300,0.827901
400,0.798617
500,0.771074
600,0.756759
700,0.738911
800,0.734543
900,0.716897
1000,0.706622
1100,0.695539
1200,0.692484
1300,0.684734
1400,0.679862
1500,0.677236
1600,0.672515
1700,0.669208
1800,0.663275
1900,0.657014
2000,0.652697
2100,0.649466
2200,0.641716
2300,0.636818
2400,0.642776
2500,0.631819
2600,0.631668
2700,0.625357
2800,0.62879
2900,0.619222
3000,0.622958
3100,0.620408
3200,0.62263
3300,0.61801
3400,0.619323
3500,0.614753
3600,0.614021
3700,0.611648
3800,0.610941
3900,0.610967
4000,0.604706
4100,0.600767
4200,0.605892
4300,0.601096
4400,0.598546
4500,0.603242
4600,0.597561
4700,0.597107
4800,0.600969
4900,0.594759
5000,0.590619
5100,0.591528
5200,0.590038
5300,0.585721
5400,0.588321
5500,0.592335
5600,0.595794
5700,0.593371
5800,0.591553
5900,0.591553
6000,0.588523
6100,0.584434
6200,0.581631
6300,0.581985
6400,0.582061
6500,0.577516
6600,0.578021
6700,0.578829
6800,0.577264
6900,0.575421
7000,0.5758
7100,0.579536
7200,0.579359
7300,0.578248
7400,0.576128
7500,0.574058
7600,0.572417
7700,0.569943
7800,0.567948
7900,0.562874
8000,0.561359
8100,0.562091
8200,0.561334
8300,0.562394
8400,0.566535
8500,0.565903
8600,0.563884
8700,0.564894
8800,0.567923
8900,0.567595
9000,0.56762
9100,0.567115
9200,0.565449
9300,0.566661
9400,0.567948
9500,0.566181
9600,0.568655
9700,0.568327
9800,0.565752
9900,0.561006
10000,0.558759
10100,0.554972
10200,0.554089
10300,0.55265
10400,0.553584
10500,0.551387
10600,0.548484
10700,0.548686
10800,0.548989
10900,0.547474
11000,0.548434
11100,0.551463
11200,0.553356
11300,0.551968
11400,0.550352
11500,0.549014
11600,0.549065
11700,0.548257
11800,0.547878
11900,0.549544
12000,0.54914
12100,0.548131
12200,0.547398
12300,0.546389
12400,0.546389
12500,0.54654
12600,0.548232
12700,0.548307
12800,0.548787
12900,0.548307
13000,0.54702
13100,0.548408
13200,0.546742
13300,0.547676
13400,0.548964
13500,0.548459
13600,0.549014
13700,0.549292
13800,0.549267
13900,0.54909
14000,0.549014
14100,0.550352
14200,0.550731
14300,0.55169
14400,0.551312
14500,0.550933
14600,0.550857
14700,0.5501
14800,0.550201
14900,0.54861
15000,0.547752
15100,0.5476
15200,0.546338
15300,0.546212
15400,0.544823
15500,0.544546
15600,0.544571
15700,0.543056
15800,0.542223
15900,0.541138
16000,0.541769
16100,0.541743
16200,0.542046
16300,0.540683
16400,0.542097
16500,0.54245
16600,0.543839
16700,0.544369
16800,0.545126
16900,0.545429
17000,0.544318
17100,0.543006
17200,0.541668
17300,0.541592
17400,0.541441
17500,0.541693
17600,0.542072
17700,0.542324
17800,0.542122
17900,0.541264
18000,0.541239
18100,0.540506
18200,0.539244
18300,0.539067
18400,0.538335
18500,0.536972
18600,0.536391
18700,0.537553
18800,0.536442
18900,0.535003
19000,0.53475
19100,0.535306
19200,0.536417
19300,0.536795
19400,0.53576
19500,0.535129
19600,0.534271
19700,0.533589
19800,0.531443
19900,0.53061
20000,0.529575
20100,0.528363
20200,0.527656
20300,0.527101
20400,0.527682
20500,0.528565
20600,0.527959
20700,0.527253
20800,0.527909
20900,0.527025
21000,0.527253
21100,0.526672
21200,0.526571
21300,0.526697
21400,0.52647
21500,0.526621
21600,0.526874
21700,0.527
21800,0.526823
21900,0.526697
22000,0.526344
22100,0.527833
22200,0.527884
22300,0.527808
22400,0.528464
22500,0.527505
22600,0.528111
22700,0.528767
22800,0.527909
22900,0.527227
23000,0.527606
23100,0.526975
23200,0.526647
23300,0.526495
23400,0.527051
23500,0.526924
23600,0.525687
23700,0.526217
23800,0.526697
23900,0.527076
24000,0.527
24100,0.52695
24200,0.52695
24300,0.527076
24400,0.526975
24500,0.527177
24600,0.527253
24700,0.526899
24800,0.527025
24900,0.527
25000,0.527101
25100,0.52806
25200,0.529373
25300,0.530181
25400,0.530459
25500,0.530408
25600,0.530105
25700,0.529878
25800,0.530232
25900,0.530408
26000,0.529878
26100,0.531267
26200,0.532074
26300,0.531494
26400,0.531544
26500,0.531898
26600,0.531494
26700,0.531469
26800,0.532049
26900,0.5321
27000,0.531696
27100,0.531948
27200,0.532605
27300,0.533412
27400,0.533311
27500,0.533236
27600,0.532554
27700,0.532428
27800,0.532529
27900,0.533135
28000,0.532781
28100,0.533286
28200,0.533943
28300,0.534372
28400,0.533993
28500,0.533867
28600,0.5347
28700,0.534372
28800,0.534347
28900,0.53475
29000,0.534675
29100,0.534498
29200,0.534448
29300,0.534397
29400,0.533968
29500,0.53364
29600,0.53316
29700,0.532352
29800,0.5321
29900,0.5321
30000,0.530762
30100,0.530711
30200,0.530585
30300,0.529777
30400,0.529651
30500,0.529499
30600,0.529196
30700,0.52955
30800,0.528793
30900,0.528616
31000,0.528237
31100,0.527833
31200,0.528414
31300,0.527959
31400,0.526722
31500,0.527606
31600,0.526344
31700,0.526571
31800,0.525839
31900,0.525586
32000,0.525384
32100,0.525031
32200,0.525056
32300,0.524652
32400,0.524072
32500,0.522809
32600,0.522809
32700,0.522607
32800,0.52392
32900,0.523794
33000,0.524955
33100,0.525965
33200,0.526318
33300,0.526773
33400,0.526268
33500,0.526697
33600,0.527909
33700,0.527379
33800,0.52806
33900,0.527555
34000,0.527076
34100,0.526621
34200,0.52599
34300,0.525157
34400,0.525309
34500,0.525839
34600,0.525738
34700,0.525359
34800,0.525637
34900,0.525107
35000,0.525864
35100,0.526192
35200,0.526344
35300,0.526748
35400,0.527454
35500,0.528035
35600,0.527884
35700,0.527985
35800,0.527833
35900,0.527934
36000,0.528111
36100,0.527783
36200,0.527631
36300,0.527126
36400,0.527
36500,0.526823
36600,0.526748
36700,0.526344
36800,0.526192
36900,0.525132
37000,0.525233
37100,0.525309
37200,0.525612
37300,0.526041
37400,0.526142
37500,0.525713
37600,0.525637
37700,0.525662
37800,0.524804
37900,0.524703
38000,0.525056
38100,0.524703
38200,0.525132
38300,0.524829
38400,0.525233
38500,0.525536
38600,0.525435
38700,0.524677
38800,0.524577
38900,0.524122
39000,0.523945
39100,0.52344
39200,0.523743
39300,0.523996
39400,0.52392
39500,0.523592
39600,0.522633
