Blocksize,RelSize
100,0.873391
200,0.790316
300,0.731081
400,0.699997
500,0.677107
600,0.64767
700,0.630377
800,0.622896
900,0.607124
1000,0.601094
1100,0.588267
1200,0.575273
1300,0.5644
1400,0.562418
1500,0.549898
1600,0.549828
1700,0.534419
1800,0.535899
1900,0.533386
2000,0.517796
2100,0.514572
2200,0.515939
2300,0.507132
2400,0.503559
2500,0.500642
2600,0.493803
2700,0.498325
2800,0.492728
2900,0.490621
3000,0.485065
3100,0.482679
3200,0.478073
3300,0.484033
3400,0.467758
3500,0.479622
3600,0.470843
3700,0.4672
3800,0.469447
3900,0.465302
4000,0.457792
4100,0.453884
4200,0.457416
4300,0.455755
4400,0.457067
4500,0.447645
4600,0.451288
4700,0.451805
4800,0.444379
4900,0.439089
5000,0.442523
5100,0.445859
5200,0.443821
5300,0.440708
5400,0.444979
5500,0.438601
5600,0.443123
5700,0.439229
5800,0.435963
5900,0.432571
6000,0.425299
6100,0.425271
6200,0.42657
6300,0.430533
6400,0.432097
6500,0.432153
6600,0.437805
6700,0.434637
6800,0.424657
6900,0.425425
7000,0.426053
7100,0.419912
7200,0.418097
7300,0.418041
7400,0.422634
7500,0.423848
7600,0.427895
7700,0.427854
7800,0.423108
7900,0.41712
8000,0.413394
8100,0.412068
8200,0.408676
8300,0.411133
8400,0.416408
8500,0.416883
8600,0.419521
8700,0.420875
8800,0.419884
8900,0.414901
9000,0.411775
9100,0.410267
9200,0.413826
9300,0.412849
9400,0.414566
9500,0.409527
9600,0.410714
9700,0.406875
9800,0.406582
9900,0.408104
10000,0.405731
10100,0.404293
10200,0.400985
10300,0.399925
10400,0.399911
10500,0.400539
10600,0.401488
10700,0.403665
10800,0.405033
10900,0.403916
11000,0.404433
11100,0.403414
11200,0.40795
11300,0.408076
11400,0.40869
11500,0.410267
11600,0.409332
11700,0.406708
11800,0.405759
11900,0.401209
12000,0.398976
12100,0.399757
12200,0.399604
12300,0.399967
12400,0.398696
12500,0.401306
12600,0.402842
12700,0.403079
12800,0.403805
12900,0.404963
13000,0.405354
13100,0.405396
13200,0.406373
13300,0.405215
13400,0.405145
13500,0.402367
13600,0.398989
13700,0.398822
13800,0.399017
13900,0.399241
14000,0.399394
14100,0.396714
14200,0.394872
14300,0.393169
14400,0.391843
14500,0.389498
14600,0.390182
14700,0.390964
14800,0.391732
14900,0.393769
15000,0.39289
15100,0.394328
15200,0.396896
15300,0.397775
15400,0.39804
15500,0.397901
15600,0.396254
15700,0.394998
15800,0.393351
15900,0.393672
16000,0.393476
16100,0.393253
16200,0.392499
16300,0.392122
16400,0.391662
16500,0.392848
16600,0.392667
16700,0.393881
16800,0.39437
16900,0.394104
17000,0.393476
17100,0.394174
17200,0.394174
17300,0.394858
17400,0.394481
17500,0.392471
17600,0.390559
17700,0.389722
17800,0.38827
17900,0.384892
18000,0.382743
18100,0.382254
18200,0.380328
18300,0.380412
18400,0.380621
18500,0.38044
18600,0.380635
18700,0.382715
18800,0.383692
18900,0.383036
19000,0.382338
19100,0.382883
