Blocksize,RelSize
100,0.865996
200,0.784666
300,0.734584
400,0.698617
500,0.676583
600,0.654347
700,0.636343
800,0.614735
900,0.61753
1000,0.600903
1100,0.587699
1200,0.571154
1300,0.563134
1400,0.568764
1500,0.555985
1600,0.539723
1700,0.550821
1800,0.536402
1900,0.533202
2000,0.529537
2100,0.514429
2200,0.512748
2300,0.515928
2400,0.509326
2500,0.50647
2600,0.492477
2700,0.500658
2800,0.487474
2900,0.496891
3000,0.498025
3100,0.484862
3200,0.485267
3300,0.490148
3400,0.480994
3500,0.478908
3600,0.484153
3700,0.47984
3800,0.474088
3900,0.477693
4000,0.47664
4100,0.468033
4200,0.45811
4300,0.457705
4400,0.461856
4500,0.467628
4600,0.464448
4700,0.456287
4800,0.452723
4900,0.449867
5000,0.446769
5100,0.447923
5200,0.439458
5300,0.440066
5400,0.44122
5500,0.436096
5600,0.437271
5700,0.442152
5800,0.449138
5900,0.44689
6000,0.446769
6100,0.440997
6200,0.432836
6300,0.430588
6400,0.430082
6500,0.432674
6600,0.433484
6700,0.431317
6800,0.433221
6900,0.431985
7000,0.433788
7100,0.434132
7200,0.430628
7300,0.426153
7400,0.422791
7500,0.420138
7600,0.421414
7700,0.418356
7800,0.414204
7900,0.412665
8000,0.413151
8100,0.410559
8200,0.404585
8300,0.401648
8400,0.403046
8500,0.4026
8600,0.408311
8700,0.412058
8800,0.416068
8900,0.417809
9000,0.41949
9100,0.416594
9200,0.416797
9300,0.415885
9400,0.413475
9500,0.418761
9600,0.415987
9700,0.416351
9800,0.417505
9900,0.41542
10000,0.412969
10100,0.412605
10200,0.410519
10300,0.407744
10400,0.405172
10500,0.407278
10600,0.408554
10700,0.410357
10800,0.41141
10900,0.410073
11000,0.407724
11100,0.407926
11200,0.407258
11300,0.407461
11400,0.409587
11500,0.411693
11600,0.410701
11700,0.410822
11800,0.409263
11900,0.410134
12000,0.407258
12100,0.402621
12200,0.399137
12300,0.396241
12400,0.391442
12500,0.388647
12600,0.388343
12700,0.3849
12800,0.383422
12900,0.383422
13000,0.384313
13100,0.383949
13200,0.384495
13300,0.383908
13400,0.384759
13500,0.384313
13600,0.382713
13700,0.382288
13800,0.379473
13900,0.378157
14000,0.379311
14100,0.379169
14200,0.380425
14300,0.380992
14400,0.379858
14500,0.380364
14600,0.379068
14700,0.377731
14800,0.37765
14900,0.377873
15000,0.378562
15100,0.378076
15200,0.377569
15300,0.378643
15400,0.378359
15500,0.377002
15600,0.376557
15700,0.377245
15800,0.37842
15900,0.380182
16000,0.380101
16100,0.378866
16200,0.381417
16300,0.382936
16400,0.381802
16500,0.381498
16600,0.383118
16700,0.383706
16800,0.385103
16900,0.385447
17000,0.386217
17100,0.388566
17200,0.390004
17300,0.392434
17400,0.393325
17500,0.395674
17600,0.397436
17700,0.399259
17800,0.400433
17900,0.401041
18000,0.399927
18100,0.399178
18200,0.399502
18300,0.39853
18400,0.398692
18500,0.398287
18600,0.398044
18700,0.396322
18800,0.395289
18900,0.397335
19000,0.398266
19100,0.397213
19200,0.397477
19300,0.397072
19400,0.398064
19500,0.400049
19600,0.399765
19700,0.398753
19800,0.399036
19900,0.398408
20000,0.398165
20100,0.399097
20200,0.398084
20300,0.397456
20400,0.396079
20500,0.394803
20600,0.393507
20700,0.392232
20800,0.391685
20900,0.392535
21000,0.392677
21100,0.392394
21200,0.392576
21300,0.393123
21400,0.393366
21500,0.393204
21600,0.392758
21700,0.391016
21800,0.391786
21900,0.391381
22000,0.390368
22100,0.390146
22200,0.389336
22300,0.388931
22400,0.388809
22500,0.388728
22600,0.388708
22700,0.387999
22800,0.387472
22900,0.388525
23000,0.388343
23100,0.387128
23200,0.385508
23300,0.384252
23400,0.38324
23500,0.381903
23600,0.381437
23700,0.381437
23800,0.38083
23900,0.380243
24000,0.379331
24100,0.377711
24200,0.376172
24300,0.375119
24400,0.37437
24500,0.373398
24600,0.372851
24700,0.370886
24800,0.369408
24900,0.369206
25000,0.369469
25100,0.368801
25200,0.368497
25300,0.367727
25400,0.366411
25500,0.365175
25600,0.365581
25700,0.366249
25800,0.366492
25900,0.366816
26000,0.366796
26100,0.36714
26200,0.367545
26300,0.367727
26400,0.367565
26500,0.367788
26600,0.367626
26700,0.366978
26800,0.367241
26900,0.36797
27000,0.368051
27100,0.367687
27200,0.367403
27300,0.367403
27400,0.36795
27500,0.367687
27600,0.367484
27700,0.368152
27800,0.367707
27900,0.367565
28000,0.367869
28100,0.366796
28200,0.367018
28300,0.36714
28400,0.367747
28500,0.368011
28600,0.367788
28700,0.367403
28800,0.366978
28900,0.367018
29000,0.367342
29100,0.367444
29200,0.366755
29300,0.366836
29400,0.366775
29500,0.366877
29600,0.366654
29700,0.366634
29800,0.366472
29900,0.366897
30000,0.36714
30100,0.366573
30200,0.367059
30300,0.366978
30400,0.367039
30500,0.366897
30600,0.366897
30700,0.367302
30800,0.367322
30900,0.366958
31000,0.367039
31100,0.366694
31200,0.366553
31300,0.368031
31400,0.36793
31500,0.368132
31600,0.368355
31700,0.369368
31800,0.369752
31900,0.369955
32000,0.369813
32100,0.369995
32200,0.370279
32300,0.370441
32400,0.371474
32500,0.371555
32600,0.371717
32700,0.37121
32800,0.371838
32900,0.373215
33000,0.374106
33100,0.375423
33200,0.377266
33300,0.377893
33400,0.378582
33500,0.37846
33600,0.3784
33700,0.378298
33800,0.378602
33900,0.378055
34000,0.379352
34100,0.380425
34200,0.381113
34300,0.381397
34400,0.38162
34500,0.382086
34600,0.382815
34700,0.383078
34800,0.383341
34900,0.383604
35000,0.384354
35100,0.384718
35200,0.385083
35300,0.385427
35400,0.385873
35500,0.385893
35600,0.3865
35700,0.386743
35800,0.386986
35900,0.385609
36000,0.385022
36100,0.384516
36200,0.38403
36300,0.38403
36400,0.383989
36500,0.383442
36600,0.382774
36700,0.382531
36800,0.382227
36900,0.38166
37000,0.381539
37100,0.381275
37200,0.380951
37300,0.379615
37400,0.37921
37500,0.378947
37600,0.378683
37700,0.379939
37800,0.380243
37900,0.380263
38000,0.380263
38100,0.379372
38200,0.378744
38300,0.378785
38400,0.378744
38500,0.378724
38600,0.378096
38700,0.378521
38800,0.378602
38900,0.379534
39000,0.380202
39100,0.380344
39200,0.379898
39300,0.379372
39400,0.379736
39500,0.379412
39600,0.380627
39700,0.380425
39800,0.380182
39900,0.380263
40000,0.380283
40100,0.380344
40200,0.380951
40300,0.380506
40400,0.380465
40500,0.38
40600,0.380121
40700,0.380101
40800,0.379291
40900,0.3784
41000,0.377286
41100,0.376901
41200,0.375848
41300,0.374835
41400,0.375139
41500,0.37518
41600,0.374937
41700,0.375119
41800,0.375646
41900,0.375524
42000,0.376051
42100,0.375848
42200,0.375909
42300,0.376334
42400,0.376415
42500,0.376962
42600,0.376861
42700,0.377245
42800,0.37763
42900,0.377488
43000,0.377407
43100,0.37763
43200,0.377286
43300,0.376861
43400,0.376395
43500,0.376861
43600,0.377023
43700,0.376942
43800,0.376577
43900,0.376273
44000,0.376091
44100,0.375666
44200,0.37603
44300,0.375868
44400,0.375929
44500,0.37597
44600,0.376091
44700,0.376192
44800,0.376537
44900,0.376476
45000,0.376476
45100,0.376739
45200,0.376456
45300,0.376192
45400,0.375382
45500,0.374916
45600,0.375058
45700,0.375524
45800,0.376597
45900,0.376192
46000,0.376516
46100,0.376233
46200,0.376192
46300,0.376516
46400,0.375484
46500,0.3752
46600,0.37522
46700,0.374633
46800,0.375078
46900,0.374673
47000,0.37439
47100,0.374653
47200,0.374552
47300,0.374957
47400,0.375119
47500,0.37518
47600,0.375281
47700,0.37518
47800,0.374754
47900,0.374856
48000,0.374572
48100,0.374309
48200,0.374066
48300,0.373337
48400,0.373053
48500,0.373053
48600,0.373377
48700,0.373823
48800,0.373944
48900,0.373296
49000,0.372851
49100,0.372729
49200,0.372385
49300,0.372041
