Blocksize,RelSize
1000,0.655109
2000,0.593768
3000,0.565843
4000,0.553535
5000,0.533509
6000,0.527745
7000,0.52359
8000,0.520222
9000,0.515169
10000,0.513014
11000,0.511104
12000,0.509483
13000,0.508091
14000,0.506746
15000,0.505549
16000,0.504712
17000,0.503824
18000,0.503057
19000,0.502193
20000,0.501597
21000,0.500893
22000,0.500448
23000,0.499939
24000,0.499435
25000,0.498953
26000,0.498627
27000,0.498043
28000,0.497771
29000,0.497275
30000,0.496934
31000,0.496545
32000,0.496311
33000,0.498242
34000,0.501001
35000,0.50148
36000,0.502027
37000,0.50104
38000,0.501058
39000,0.501065
40000,0.500818
41000,0.500341
42000,0.500172
43000,0.500033
44000,0.499771
45000,0.499538
46000,0.499473
47000,0.499183
48000,0.499109
49000,0.498876
50000,0.498686
51000,0.498407
52000,0.498374
53000,0.498207
54000,0.497845
55000,0.497713
56000,0.497684
57000,0.497397
58000,0.497274
59000,0.497056
60000,0.496872
61000,0.496778
62000,0.496623
63000,0.496423
64000,0.496333
65000,0.496151
66000,0.497665
67000,0.498737
68000,0.498976
69000,0.499165
70000,0.498702
71000,0.498703
72000,0.498617
73000,0.498689
74000,0.498323
75000,0.498212
76000,0.498301
77000,0.498168
78000,0.498097
79000,0.497903
80000,0.497952
81000,0.497793
82000,0.497743
83000,0.497622
84000,0.497612
85000,0.497359
86000,0.497351
87000,0.497186
88000,0.497035
89000,0.496886
90000,0.496721
91000,0.49691
92000,0.49669
93000,0.496565
94000,0.496485
95000,0.496309
96000,0.496278
97000,0.496168
98000,0.496173
99000,0.497357
100000,0.497747
101000,0.498083
102000,0.498243
103000,0.497847
104000,0.497866
105000,0.497811
106000,0.498018
107000,0.497618
108000,0.497612
109000,0.497571
110000,0.497407
111000,0.497368
112000,0.497444
113000,0.497432
114000,0.49725
115000,0.497299
116000,0.497122
117000,0.497091
118000,0.49708
119000,0.496899
120000,0.496816
121000,0.496851
122000,0.496718
123000,0.49667
124000,0.49667
125000,0.496459
126000,0.496408
127000,0.496359
128000,0.496329
129000,0.496192
130000,0.49608
131000,0.496124
132000,0.497121
133000,0.497383
134000,0.497566
135000,0.497693
136000,0.497455
137000,0.497404
138000,0.497424
139000,0.497405
140000,0.497255
141000,0.497285
142000,0.49721
143000,0.497123
144000,0.497176
145000,0.497071
146000,0.496981
147000,0.496938
148000,0.496922
149000,0.496883
150000,0.496763
151000,0.496784
152000,0.496843
153000,0.496678
154000,0.496577
155000,0.496578
156000,0.496516
157000,0.496392
158000,0.496329
159000,0.496254
160000,0.496237
161000,0.496124
162000,0.496105
163000,0.496078
164000,0.496306
165000,0.496997
166000,0.497205
167000,0.497305
168000,0.497146
169000,0.497063
170000,0.49714
171000,0.497109
172000,0.497064
173000,0.497081
174000,0.497012
175000,0.496897
176000,0.496874
177000,0.496827
178000,0.496865
179000,0.496811
180000,0.496753
181000,0.496681
182000,0.496866
183000,0.496683
184000,0.496592
185000,0.496602
186000,0.496605
187000,0.496526
188000,0.496352
189000,0.496332
190000,0.496333
191000,0.496374
192000,0.496276
193000,0.496227
194000,0.496205
195000,0.496095
196000,0.496189
197000,0.496467
198000,0.496865
199000,0.496922
200000,0.497044
201000,0.496966
202000,0.497021
203000,0.496976
204000,0.497029
205000,0.496887
206000,0.496977
207000,0.496804
208000,0.496857
209000,0.496742
210000,0.496816
211000,0.496679
212000,0.496779
213000,0.496753
214000,0.496587
215000,0.496654
216000,0.496584
217000,0.496486
218000,0.4965
219000,0.496479
220000,0.496395
221000,0.496377
222000,0.496312
223000,0.496247
224000,0.496271
225000,0.496189
226000,0.496307
227000,0.496168
228000,0.496184
229000,0.496033
230000,0.496713
231000,0.496819
232000,0.496874
233000,0.497027
234000,0.49683
235000,0.496755
236000,0.496946
237000,0.496957
238000,0.496755
239000,0.496764
240000,0.496818
241000,0.496692
242000,0.496674
243000,0.496745
244000,0.496704
245000,0.496431
246000,0.496635
247000,0.496524
248000,0.496632
249000,0.496518
250000,0.496478
251000,0.496517
252000,0.496411
253000,0.496384
254000,0.496302
255000,0.496317
256000,0.496335
257000,0.496215
258000,0.496215
259000,0.496204
260000,0.496053
261000,0.496073
262000,0.496141
263000,0.496574
264000,0.496712
265000,0.496873
266000,0.49684
267000,0.496765
268000,0.496674
269000,0.496717
270000,0.496705
271000,0.496727
272000,0.496698
273000,0.496673
274000,0.496661
275000,0.496646
276000,0.496615
277000,0.496525
278000,0.496604
279000,0.49659
280000,0.496537
281000,0.49646
282000,0.496421
283000,0.496395
284000,0.49637
285000,0.496338
286000,0.496277
287000,0.496287
288000,0.496375
289000,0.496215
290000,0.496166
291000,0.496208
292000,0.496084
293000,0.496108
294000,0.496071
295000,0.496322
296000,0.49651
297000,0.496774
298000,0.49677
299000,0.496851
300000,0.496671
301000,0.496702
302000,0.496678
303000,0.496679
304000,0.496657
305000,0.4966
306000,0.496574
307000,0.496712
308000,0.496548
309000,0.496581
310000,0.496578
311000,0.496479
312000,0.496427
313000,0.496468
314000,0.496402
315000,0.496366
316000,0.496397
317000,0.496355
318000,0.496363
319000,0.496198
320000,0.496268
321000,0.496187
322000,0.496206
323000,0.496189
324000,0.496185
325000,0.496072
326000,0.496079
327000,0.495985
328000,0.496274
329000,0.496518
330000,0.496489
331000,0.496865
332000,0.496634
333000,0.496633
334000,0.496524
335000,0.496566
336000,0.49652
337000,0.496439
338000,0.496541
339000,0.496557
340000,0.496413
341000,0.496594
342000,0.496377
343000,0.4964
344000,0.496474
345000,0.496423
346000,0.496412
347000,0.496506
348000,0.496451
349000,0.496433
350000,0.496236
351000,0.496226
352000,0.496185
353000,0.496279
354000,0.496199
355000,0.49624
356000,0.496101
357000,0.496068
358000,0.49604
359000,0.496102
360000,0.496113
361000,0.496383
362000,0.496596
363000,0.496592
364000,0.496671
365000,0.496556
366000,0.496676
367000,0.496638
368000,0.496602
369000,0.496504
370000,0.496452
371000,0.496427
372000,0.496558
373000,0.496445
374000,0.496452
375000,0.496428
376000,0.49639
377000,0.496424
378000,0.496413
379000,0.496346
380000,0.496333
381000,0.49631
382000,0.496272
383000,0.496239
384000,0.496295
385000,0.496203
386000,0.496207
387000,0.496165
388000,0.496176
389000,0.49619
390000,0.496099
391000,0.496186
392000,0.496146
393000,0.496077
394000,0.496324
395000,0.496521
396000,0.496538
397000,0.496703
398000,0.496413
399000,0.496448
400000,0.496446
401000,0.496551
402000,0.496511
403000,0.496331
404000,0.496473
405000,0.496484
406000,0.496436
407000,0.496467
408000,0.496341
409000,0.496359
410000,0.49637
411000,0.496267
412000,0.496423
413000,0.496406
414000,0.496224
415000,0.49629
416000,0.496254
417000,0.496225
418000,0.49626
419000,0.496265
420000,0.496351
421000,0.496149
422000,0.496138
423000,0.496094
424000,0.496155
425000,0.496033
426000,0.496039
427000,0.496427
428000,0.496413
429000,0.49651
430000,0.496659
431000,0.496429
432000,0.496537
433000,0.496574
434000,0.496464
435000,0.496395
436000,0.496429
437000,0.496439
438000,0.496316
439000,0.496502
440000,0.49628
441000,0.496351
442000,0.496278
443000,0.496332
444000,0.49627
445000,0.496209
446000,0.496248
447000,0.496279
448000,0.496277
449000,0.496129
450000,0.496155
451000,0.496269
452000,0.496203
453000,0.496149
454000,0.49608
455000,0.496089
456000,0.496207
457000,0.496077
458000,0.496039
459000,0.496171
460000,0.496428
461000,0.496496
462000,0.496466
463000,0.496473
464000,0.49647
465000,0.496532
466000,0.496476
467000,0.496428
468000,0.496324
469000,0.496422
470000,0.49628
471000,0.496344
472000,0.49641
473000,0.496263
474000,0.496453
475000,0.496422
476000,0.496321
477000,0.496352
478000,0.496317
479000,0.49622
480000,0.496288
481000,0.496105
482000,0.496135
483000,0.496124
484000,0.496159
485000,0.496139
486000,0.496164
487000,0.496151
488000,0.496116
489000,0.496112
490000,0.495994
491000,0.495991
492000,0.496289
493000,0.49642
494000,0.496484
495000,0.496514
496000,0.496441
497000,0.496302
498000,0.496468
499000,0.496439
500000,0.496264
501000,0.496344
502000,0.496536
503000,0.496391
504000,0.496347
505000,0.496281
506000,0.496279
507000,0.49621
508000,0.496324
509000,0.496319
510000,0.496204
511000,0.496377
512000,0.496301
513000,0.49612
514000,0.496128
515000,0.496059
516000,0.496176
517000,0.496112
518000,0.496143
519000,0.496177
520000,0.496101
521000,0.496108
522000,0.495987
523000,0.496053
524000,0.496015
525000,0.49632
526000,0.496336
527000,0.496426
528000,0.496399
529000,0.496361
530000,0.496494
531000,0.496481
532000,0.496389
533000,0.496396
534000,0.496387
535000,0.49623
536000,0.496278
537000,0.496296
538000,0.496289
539000,0.49634
540000,0.496243
541000,0.496263
542000,0.496209
543000,0.496224
544000,0.496166
545000,0.496244
546000,0.496218
547000,0.496147
548000,0.496208
549000,0.496285
550000,0.496097
551000,0.496183
552000,0.496111
553000,0.496096
554000,0.49607
555000,0.495992
556000,0.49606
557000,0.496016
558000,0.496359
559000,0.496474
560000,0.496492
561000,0.496533
562000,0.496343
563000,0.49633
564000,0.496377
565000,0.496308
566000,0.496376
567000,0.496359
568000,0.496291
569000,0.496277
570000,0.496378
571000,0.496274
572000,0.496234
573000,0.496319
574000,0.496236
575000,0.496181
576000,0.496289
577000,0.49619
578000,0.496163
579000,0.496174
580000,0.496211
581000,0.496213
582000,0.496202
583000,0.49621
584000,0.49603
585000,0.496091
586000,0.496058
587000,0.496056
588000,0.496106
589000,0.49607
590000,0.496179
591000,0.496253
592000,0.496384
593000,0.496384
594000,0.496384
595000,0.496339
596000,0.496351
597000,0.496301
598000,0.496377
599000,0.496287
600000,0.496248
601000,0.496337
602000,0.496298
603000,0.496279
604000,0.496287
605000,0.496124
606000,0.496227
607000,0.496274
608000,0.496335
